ts,day,drone_id,type,payload_json
1779787591.188,5,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":5,""day_max"":8,""n_flowers"":70}"
1779787591.673,5,0,drone_at_base,{}
1779787592.221,5,1,drone_at_base,{}
1779787597.684,5,,day_start,"{""day"":5,""counts"":{""not_ready"":10,""opening"":37,""prime_target"":23,""partial_target"":0,""spent"":0},""n_targets"":23}"
1779787597.685,5,,survey_start,"{""day"":5,""n_targets"":23}"
1779787640.372,5,1,survey_done,"{""n_observed"":16}"
1779787641.923,5,0,survey_done,"{""n_observed"":13}"
1779787644.186,5,,merge_complete,"{""unique_targets"":23}"
1779787644.187,5,,routes_assigned,"{""route_counts"":{""0"":11,""1"":12},""day"":5}"
1779787644.683,5,,day_complete,"{""day"":5,""pollinated_today"":0}"
1779787648.686,6,,day_start,"{""day"":6,""counts"":{""not_ready"":2,""opening"":24,""prime_target"":41,""partial_target"":3,""spent"":0},""n_targets"":44}"
1779787648.687,6,,survey_start,"{""day"":6,""n_targets"":44}"
1779787689.071,6,1,survey_done,"{""n_observed"":29}"
1779787690.424,6,0,survey_done,"{""n_observed"":23}"
1779787693.194,6,,merge_complete,"{""unique_targets"":44}"
1779787693.195,6,,routes_assigned,"{""route_counts"":{""0"":22,""1"":22},""day"":6}"
1779787693.683,6,,day_complete,"{""day"":6,""pollinated_today"":0}"
1779787697.685,7,,day_start,"{""day"":7,""counts"":{""not_ready"":0,""opening"":10,""prime_target"":48,""partial_target"":12,""spent"":0},""n_targets"":60}"
1779787697.685,7,,survey_start,"{""day"":7,""n_targets"":60}"
1779787738.071,7,1,survey_done,"{""n_observed"":38}"
1779787741.023,7,0,survey_done,"{""n_observed"":33}"
1779787743.195,7,,merge_complete,"{""unique_targets"":60}"
1779787743.195,7,,routes_assigned,"{""route_counts"":{""0"":30,""1"":30},""day"":7}"
1779787743.683,7,,day_complete,"{""day"":7,""pollinated_today"":0}"
1779787747.684,8,,day_start,"{""day"":8,""counts"":{""not_ready"":0,""opening"":2,""prime_target"":45,""partial_target"":23,""spent"":0},""n_targets"":68}"
1779787747.685,8,,survey_start,"{""day"":8,""n_targets"":68}"
