run_id,day,flower_id,flower_id_truth,drone_id,x,y,z,pollinated_at,sweep_duration_s,status
stage15_20260524_161449,5,32,42,0,1.65,12.005,2.2,1779610567.6329231,4.0,POLLINATED
stage15_20260524_161449,5,36,66,0,2.95,11.963,1.85,1779610581.0831923,4.0,POLLINATED
stage15_20260524_161449,5,51,10,0,4.25,12.784,2.3,1779610594.23319,4.0,POLLINATED
stage15_20260524_161449,5,58,21,0,4.9,12.998,1.85,1779610607.033166,4.0,POLLINATED
stage15_20260524_161449,5,65,44,0,5.55,13.375,1.55,1779610621.8333483,4.0,POLLINATED
stage15_20260524_161449,5,10,56,1,2.3,5.038,2.25,1779610631.91419,4.0,POLLINATED
stage15_20260524_161449,5,54,26,0,6.85,11.991,1.55,1779610637.283279,4.0,POLLINATED
stage15_20260524_161449,5,62,83,0,7.5,13.603,1.55,1779610652.232761,4.0,POLLINATED
stage15_20260524_161449,5,55,71,0,9.45,12.374,2.55,1779610666.032812,4.0,POLLINATED
stage15_20260524_161449,5,63,23,0,10.75,13.186,2.55,1779610676.8837223,4.0,POLLINATED
stage15_20260524_161449,5,68,54,0,12.7,14.005,2.05,1779610688.683014,4.0,POLLINATED
stage15_20260524_161449,5,52,86,0,10.1,11.631,2.55,1779610702.482902,4.0,POLLINATED
stage15_20260524_161449,5,42,36,0,6.85,9.033,1.55,1779610715.4829204,4.0,POLLINATED
