wall_time,sim_time,drone_id,state,x,y,z,battery_pct
0.103,0.103,0,UNKNOWN,0.0,0.0,0.0,100.0
0.103,0.103,1,UNKNOWN,0.0,0.0,0.0,100.0
0.203,0.203,0,UNKNOWN,0.0,0.0,0.0,100.0
0.203,0.203,1,UNKNOWN,0.0,0.0,0.0,100.0
0.303,0.303,0,UNKNOWN,0.0,0.0,0.0,100.0
0.303,0.303,1,UNKNOWN,0.0,0.0,0.0,100.0
0.403,0.403,0,UNKNOWN,0.0,0.0,0.0,100.0
0.403,0.403,1,UNKNOWN,0.0,0.0,0.0,100.0
0.503,0.503,0,UNKNOWN,0.0,0.0,0.0,100.0
0.503,0.503,1,UNKNOWN,0.0,0.0,0.0,100.0
0.603,0.603,0,UNKNOWN,0.0,0.0,0.0,100.0
0.603,0.603,1,UNKNOWN,0.0,0.0,0.0,100.0
0.703,0.703,0,UNKNOWN,0.0,0.0,0.0,100.0
0.703,0.703,1,UNKNOWN,0.0,0.0,0.0,100.0
0.803,0.803,0,UNKNOWN,0.0,0.0,0.0,100.0
0.803,0.803,1,UNKNOWN,0.0,0.0,0.0,100.0
0.903,0.903,0,UNKNOWN,0.0,0.0,0.0,100.0
0.903,0.903,1,UNKNOWN,0.0,0.0,0.0,100.0
1.004,1.004,0,UNKNOWN,0.0,0.0,0.0,100.0
1.004,1.004,1,UNKNOWN,0.0,0.0,0.0,100.0
1.103,1.103,0,UNKNOWN,0.0,0.0,0.0,100.0
1.103,1.103,1,UNKNOWN,0.0,0.0,0.0,100.0
1.203,1.203,0,UNKNOWN,0.0,0.0,0.0,100.0
1.203,1.203,1,UNKNOWN,0.0,0.0,0.0,100.0
1.303,1.303,0,UNKNOWN,0.0,0.0,0.0,100.0
1.303,1.303,1,UNKNOWN,0.0,0.0,0.0,100.0
1.403,1.403,0,UNKNOWN,0.0,0.0,0.0,100.0
1.403,1.403,1,UNKNOWN,0.0,0.0,0.0,100.0
1.503,1.503,0,UNKNOWN,0.0,0.0,0.0,100.0
1.503,1.503,1,UNKNOWN,0.0,0.0,0.0,100.0
1.603,1.603,0,UNKNOWN,0.0,0.0,0.0,100.0
1.603,1.603,1,UNKNOWN,0.0,0.0,0.0,100.0
1.703,1.703,0,UNKNOWN,0.0,0.0,0.0,100.0
1.703,1.703,1,UNKNOWN,0.0,0.0,0.0,100.0
1.803,1.803,0,UNKNOWN,0.0,0.0,0.0,100.0
1.803,1.803,1,UNKNOWN,0.0,0.0,0.0,100.0
1.905,1.905,0,UNKNOWN,0.0,0.0,0.0,100.0
1.905,1.905,1,UNKNOWN,0.0,0.0,0.0,100.0
2.003,2.003,0,UNKNOWN,0.0,0.0,0.0,100.0
2.003,2.003,1,UNKNOWN,0.0,0.0,0.0,100.0
2.103,2.103,0,UNKNOWN,0.0,0.0,0.0,100.0
2.103,2.103,1,UNKNOWN,0.0,0.0,0.0,100.0
2.203,2.203,0,UNKNOWN,0.0,0.0,0.0,100.0
2.203,2.203,1,UNKNOWN,0.0,0.0,0.0,100.0
2.306,2.306,0,UNKNOWN,0.0,0.0,0.0,100.0
2.306,2.306,1,UNKNOWN,0.0,0.0,0.0,100.0
2.403,2.403,0,UNKNOWN,0.0,0.0,0.0,100.0
2.403,2.403,1,UNKNOWN,0.0,0.0,0.0,100.0
2.503,2.503,0,UNKNOWN,0.0,0.0,0.0,100.0
2.503,2.503,1,UNKNOWN,0.0,0.0,0.0,100.0
2.603,2.603,0,IDLE,0.0,0.0,0.0,100.0
2.603,2.603,1,UNKNOWN,0.0,0.0,0.0,100.0
2.703,2.703,0,IDLE,0.5,0.5,0.05,100.0
2.703,2.703,1,UNKNOWN,0.0,0.0,0.0,100.0
2.806,2.806,0,IDLE,0.5,0.5,0.05,100.0
2.806,2.806,1,UNKNOWN,0.0,0.0,0.0,100.0
2.903,2.903,0,IDLE,0.5,0.5,0.05,100.0
2.903,2.903,1,UNKNOWN,0.0,0.0,0.0,100.0
3.003,3.003,0,IDLE,0.5,0.5,0.05,100.0
3.003,3.003,1,UNKNOWN,0.0,0.0,0.0,100.0
3.106,3.106,0,IDLE,0.5,0.5,0.05,100.0
3.106,3.106,1,UNKNOWN,0.0,0.0,0.0,100.0
3.203,3.203,0,IDLE,0.5,0.5,0.05,100.0
3.203,3.203,1,UNKNOWN,0.0,0.0,0.0,100.0
3.303,3.303,0,IDLE,0.5,0.5,0.05,100.0
3.303,3.303,1,UNKNOWN,0.0,0.0,0.0,100.0
3.403,3.403,0,IDLE,0.5,0.5,0.05,100.0
3.403,3.403,1,UNKNOWN,0.0,0.0,0.0,100.0
3.503,3.503,0,IDLE,0.5,0.5,0.05,100.0
3.503,3.503,1,UNKNOWN,0.0,0.0,0.0,100.0
3.603,3.603,0,IDLE,0.5,0.5,0.05,100.0
3.603,3.603,1,UNKNOWN,0.0,0.0,0.0,100.0
3.703,3.703,0,IDLE,0.5,0.5,0.05,100.0
3.703,3.703,1,UNKNOWN,0.0,0.0,0.0,100.0
3.803,3.803,0,IDLE,0.5,0.5,0.05,100.0
3.803,3.803,1,UNKNOWN,0.0,0.0,0.0,100.0
3.903,3.903,0,IDLE,0.5,0.5,0.05,100.0
3.903,3.903,1,IDLE,1.5,0.5,0.05,100.0
4.003,4.003,0,SURVEY,0.5,0.5,0.05,100.0
4.003,4.003,1,SURVEY,1.5,0.5,0.05,100.0
4.103,4.103,0,SURVEY,0.5,0.5,0.108,100.0
4.103,4.103,1,SURVEY,1.5,0.5,0.104,100.0
4.203,4.203,0,SURVEY,0.5,0.5,0.194,100.0
4.203,4.203,1,SURVEY,1.5,0.5,0.191,100.0
4.303,4.303,0,SURVEY,0.5,0.5,0.28,99.9
4.303,4.303,1,SURVEY,1.5,0.5,0.277,100.0
4.403,4.403,0,SURVEY,0.5,0.5,0.338,99.9
4.403,4.403,1,SURVEY,1.5,0.5,0.335,100.0
4.503,4.503,0,SURVEY,0.5,0.5,0.424,99.9
4.503,4.503,1,SURVEY,1.5,0.5,0.421,100.0
4.603,4.603,0,SURVEY,0.5,0.5,0.511,99.9
4.603,4.603,1,SURVEY,1.5,0.5,0.508,100.0
4.703,4.703,0,SURVEY,0.5,0.5,0.597,99.9
4.703,4.703,1,SURVEY,1.5,0.5,0.594,100.0
4.803,4.803,0,SURVEY,0.5,0.5,0.655,99.8
4.803,4.803,1,SURVEY,1.5,0.5,0.652,100.0
4.903,4.903,0,SURVEY,0.5,0.5,0.741,99.8
4.903,4.903,1,SURVEY,1.5,0.5,0.738,100.0
5.003,5.003,0,SURVEY,0.5,0.5,0.828,99.8
5.003,5.003,1,SURVEY,1.5,0.5,0.824,100.0
5.103,5.103,0,SURVEY,0.5,0.5,0.914,99.8
5.103,5.103,1,SURVEY,1.5,0.5,0.911,99.9
5.203,5.203,0,SURVEY,0.5,0.5,1.0,99.8
5.203,5.203,1,SURVEY,1.5,0.5,0.997,99.9
5.303,5.303,0,SURVEY,0.5,0.5,1.058,99.7
5.303,5.303,1,SURVEY,1.5,0.5,1.055,99.9
5.403,5.403,0,SURVEY,0.5,0.5,1.144,99.7
5.403,5.403,1,SURVEY,1.5,0.5,1.141,99.9
5.503,5.503,0,SURVEY,0.5,0.5,1.231,99.7
5.503,5.503,1,SURVEY,1.5,0.5,1.228,99.9
5.603,5.603,0,SURVEY,0.5,0.5,1.317,99.7
5.603,5.603,1,SURVEY,1.5,0.5,1.314,99.8
5.703,5.703,0,SURVEY,0.5,0.5,1.375,99.7
5.703,5.703,1,SURVEY,1.5,0.5,1.372,99.8
5.803,5.803,0,SURVEY,0.5,0.5,1.461,99.7
5.803,5.803,1,SURVEY,1.5,0.5,1.458,99.8
5.903,5.903,0,SURVEY,0.5,0.5,1.548,99.7
5.903,5.903,1,SURVEY,1.5,0.5,1.544,99.8
6.003,6.003,0,SURVEY,0.5,0.5,1.634,99.7
6.003,6.003,1,SURVEY,1.5,0.5,1.631,99.8
6.103,6.103,0,SURVEY,0.5,0.5,1.72,99.7
6.103,6.103,1,SURVEY,1.5,0.5,1.717,99.7
6.203,6.203,0,SURVEY,0.5,0.5,1.778,99.7
6.203,6.203,1,SURVEY,1.5,0.5,1.775,99.7
6.303,6.303,0,SURVEY,0.5,0.5,1.864,99.6
6.303,6.303,1,SURVEY,1.5,0.5,1.861,99.7
6.403,6.403,0,SURVEY,0.5,0.5,1.951,99.6
6.403,6.403,1,SURVEY,1.5,0.5,1.948,99.7
6.503,6.503,0,SURVEY,0.5,0.5,2.037,99.6
6.503,6.503,1,SURVEY,1.5,0.5,2.034,99.7
6.603,6.603,0,SURVEY,0.5,0.5,2.095,99.6
6.603,6.603,1,SURVEY,1.5,0.5,2.092,99.7
6.703,6.703,0,SURVEY,0.5,0.5,2.181,99.6
6.703,6.703,1,SURVEY,1.5,0.5,2.178,99.7
6.803,6.803,0,SURVEY,0.5,0.5,2.268,99.5
6.803,6.803,1,SURVEY,1.5,0.5,2.264,99.7
6.903,6.903,0,SURVEY,0.5,0.5,2.354,99.5
6.903,6.903,1,SURVEY,1.5,0.5,2.351,99.7
7.003,7.003,0,SURVEY,0.5,0.5,2.44,99.5
7.003,7.003,1,SURVEY,1.5,0.5,2.437,99.7
7.103,7.103,0,SURVEY,0.5,0.5,2.498,99.5
7.103,7.103,1,SURVEY,1.5,0.5,2.495,99.6
7.203,7.203,0,SURVEY,0.5,0.5,2.584,99.5
7.203,7.203,1,SURVEY,1.5,0.5,2.581,99.6
7.303,7.303,0,SURVEY,0.5,0.5,2.671,99.4
7.303,7.303,1,SURVEY,1.5,0.5,2.668,99.6
7.403,7.403,0,SURVEY,0.5,0.5,2.757,99.4
7.403,7.403,1,SURVEY,1.5,0.5,2.754,99.6
7.503,7.503,0,SURVEY,0.5,0.5,2.815,99.4
