timestamp,day,phase,drone_id,state,x,y,z,battery_pct,pollinated_count
1779763892.945,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763892.945,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763893.444,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763893.444,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763893.944,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763893.944,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763894.445,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763894.445,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763894.945,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763894.945,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763895.445,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763895.445,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763895.944,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763895.944,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763896.445,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763896.445,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763896.944,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763896.944,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763897.444,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763897.445,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763897.944,5,INIT,0,IDLE,0.000,0.000,0.000,100.0,0
1779763897.944,5,INIT,1,IDLE,0.000,0.000,0.000,100.0,0
1779763898.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763898.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763898.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763898.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763899.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763899.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763899.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763899.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763900.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763900.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763900.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763900.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763901.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763901.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763901.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763901.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763902.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763902.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763902.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763902.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763903.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763903.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763903.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763903.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
