wall_time,sim_time,drone_id,state,x,y,z,battery_pct
0.105,0.105,0,UNKNOWN,0.0,0.0,0.0,100.0
0.105,0.105,1,UNKNOWN,0.0,0.0,0.0,100.0
0.204,0.204,0,UNKNOWN,0.0,0.0,0.0,100.0
0.204,0.204,1,UNKNOWN,0.0,0.0,0.0,100.0
0.304,0.304,0,UNKNOWN,0.0,0.0,0.0,100.0
0.304,0.304,1,UNKNOWN,0.0,0.0,0.0,100.0
0.404,0.404,0,UNKNOWN,0.0,0.0,0.0,100.0
0.404,0.404,1,UNKNOWN,0.0,0.0,0.0,100.0
0.504,0.504,0,UNKNOWN,0.0,0.0,0.0,100.0
0.504,0.504,1,UNKNOWN,0.0,0.0,0.0,100.0
0.604,0.604,0,UNKNOWN,0.0,0.0,0.0,100.0
0.604,0.604,1,UNKNOWN,0.0,0.0,0.0,100.0
0.704,0.704,0,UNKNOWN,0.0,0.0,0.0,100.0
0.704,0.704,1,UNKNOWN,0.0,0.0,0.0,100.0
0.804,0.804,0,UNKNOWN,0.0,0.0,0.0,100.0
0.804,0.804,1,UNKNOWN,0.0,0.0,0.0,100.0
0.905,0.905,0,UNKNOWN,0.0,0.0,0.0,100.0
0.905,0.905,1,UNKNOWN,0.0,0.0,0.0,100.0
1.004,1.004,0,UNKNOWN,0.0,0.0,0.0,100.0
1.004,1.004,1,UNKNOWN,0.0,0.0,0.0,100.0
1.105,1.105,0,UNKNOWN,0.0,0.0,0.0,100.0
1.105,1.105,1,UNKNOWN,0.0,0.0,0.0,100.0
1.204,1.204,0,UNKNOWN,0.0,0.0,0.0,100.0
1.204,1.204,1,UNKNOWN,0.0,0.0,0.0,100.0
1.304,1.304,0,UNKNOWN,0.0,0.0,0.0,100.0
1.304,1.304,1,UNKNOWN,0.0,0.0,0.0,100.0
1.404,1.404,0,UNKNOWN,0.0,0.0,0.0,100.0
1.404,1.404,1,UNKNOWN,0.0,0.0,0.0,100.0
1.504,1.504,0,UNKNOWN,0.0,0.0,0.0,100.0
1.504,1.504,1,UNKNOWN,0.0,0.0,0.0,100.0
1.604,1.604,0,UNKNOWN,0.0,0.0,0.0,100.0
1.604,1.604,1,UNKNOWN,0.0,0.0,0.0,100.0
1.704,1.704,0,UNKNOWN,0.0,0.0,0.0,100.0
1.704,1.704,1,UNKNOWN,0.0,0.0,0.0,100.0
1.804,1.804,0,UNKNOWN,0.0,0.0,0.0,100.0
1.804,1.804,1,UNKNOWN,0.0,0.0,0.0,100.0
1.905,1.905,0,UNKNOWN,0.0,0.0,0.0,100.0
1.905,1.905,1,UNKNOWN,0.0,0.0,0.0,100.0
2.004,2.004,0,UNKNOWN,0.0,0.0,0.0,100.0
2.004,2.004,1,UNKNOWN,0.0,0.0,0.0,100.0
2.104,2.104,0,UNKNOWN,0.0,0.0,0.0,100.0
2.104,2.104,1,UNKNOWN,0.0,0.0,0.0,100.0
2.204,2.204,0,UNKNOWN,0.0,0.0,0.0,100.0
2.204,2.204,1,UNKNOWN,0.0,0.0,0.0,100.0
2.306,2.306,0,UNKNOWN,0.0,0.0,0.0,100.0
2.306,2.306,1,UNKNOWN,0.0,0.0,0.0,100.0
2.404,2.404,0,UNKNOWN,0.0,0.0,0.0,100.0
2.404,2.404,1,UNKNOWN,0.0,0.0,0.0,100.0
2.504,2.504,0,UNKNOWN,0.0,0.0,0.0,100.0
2.504,2.504,1,UNKNOWN,0.0,0.0,0.0,100.0
2.604,2.604,0,UNKNOWN,0.5,0.5,0.05,100.0
2.604,2.604,1,UNKNOWN,0.0,0.0,0.0,100.0
2.705,2.705,0,UNKNOWN,0.5,0.5,0.05,100.0
2.705,2.705,1,UNKNOWN,0.0,0.0,0.0,100.0
2.804,2.804,0,UNKNOWN,0.5,0.5,0.05,100.0
2.804,2.804,1,UNKNOWN,0.0,0.0,0.0,100.0
2.904,2.904,0,IDLE,0.5,0.5,0.05,100.0
2.904,2.904,1,UNKNOWN,0.0,0.0,0.0,100.0
3.004,3.004,0,IDLE,0.5,0.5,0.05,100.0
3.004,3.004,1,UNKNOWN,0.0,0.0,0.0,100.0
3.107,3.107,0,IDLE,0.5,0.5,0.05,100.0
3.107,3.107,1,UNKNOWN,0.0,0.0,0.0,100.0
3.204,3.204,0,IDLE,0.5,0.5,0.05,100.0
3.204,3.204,1,UNKNOWN,0.0,0.0,0.0,100.0
3.304,3.304,0,IDLE,0.5,0.5,0.05,100.0
3.304,3.304,1,UNKNOWN,0.0,0.0,0.0,100.0
3.404,3.404,0,IDLE,0.5,0.5,0.05,100.0
3.404,3.404,1,UNKNOWN,0.0,0.0,0.0,100.0
3.504,3.504,0,IDLE,0.5,0.5,0.05,100.0
3.504,3.504,1,UNKNOWN,0.0,0.0,0.0,100.0
3.604,3.604,0,IDLE,0.5,0.5,0.05,100.0
3.604,3.604,1,UNKNOWN,0.0,0.0,0.0,100.0
3.704,3.704,0,IDLE,0.5,0.5,0.05,100.0
3.704,3.704,1,UNKNOWN,0.0,0.0,0.0,100.0
3.804,3.804,0,IDLE,0.5,0.5,0.05,100.0
3.804,3.804,1,UNKNOWN,0.0,0.0,0.0,100.0
3.904,3.904,0,IDLE,0.5,0.5,0.05,100.0
3.904,3.904,1,UNKNOWN,1.5,0.5,0.05,100.0
4.004,4.004,0,SURVEY,0.5,0.5,0.063,100.0
4.004,4.004,1,SURVEY,1.5,0.5,0.056,100.0
4.104,4.104,0,SURVEY,0.5,0.5,0.149,100.0
4.104,4.104,1,SURVEY,1.5,0.5,0.085,100.0
4.204,4.204,0,SURVEY,0.5,0.5,0.236,100.0
4.204,4.204,1,SURVEY,1.5,0.5,0.085,100.0
4.305,4.305,0,SURVEY,0.5,0.5,0.322,100.0
4.305,4.305,1,SURVEY,1.5,0.5,0.085,100.0
4.404,4.404,0,IDLE,0.5,0.5,0.38,100.0
4.404,4.404,1,IDLE,1.5,0.5,0.373,100.0
4.504,4.504,0,SURVEY,0.5,0.5,0.466,99.9
4.504,4.504,1,IDLE,1.5,0.5,0.46,100.0
4.604,4.604,0,SURVEY,0.5,0.5,0.552,99.9
