wall_time,sim_time,drone_id,state,x,y,z,battery_pct
7.503,7.503,1,SURVEY,0.0,0.0,0.0,99.6
7.603,7.603,0,SURVEY,0.0,0.0,0.0,99.4
7.603,7.603,1,SURVEY,0.0,0.0,0.0,99.5
7.703,7.703,0,SURVEY,0.0,0.0,0.0,99.4
7.703,7.703,1,SURVEY,0.0,0.0,0.0,99.5
7.803,7.803,0,SURVEY,0.0,0.0,0.0,99.4
7.803,7.803,1,SURVEY,0.0,0.0,0.0,99.5
7.903,7.903,0,SURVEY,0.0,0.0,0.0,99.3
7.903,7.903,1,SURVEY,0.0,0.0,0.0,99.5
8.003,8.003,0,SURVEY,0.0,0.0,0.0,99.3
8.003,8.003,1,SURVEY,0.0,0.0,0.0,99.5
8.103,8.103,0,SURVEY,0.0,0.0,0.0,99.3
8.103,8.103,1,SURVEY,0.0,0.0,0.0,99.4
8.203,8.203,0,SURVEY,0.0,0.0,0.0,99.3
8.203,8.203,1,SURVEY,0.0,0.0,0.0,99.4
8.303,8.303,0,SURVEY,0.0,0.0,0.0,99.3
8.303,8.303,1,SURVEY,0.0,0.0,0.0,99.4
8.403,8.403,0,SURVEY,0.0,0.0,0.0,99.2
8.403,8.403,1,SURVEY,0.0,0.0,0.0,99.4
8.502,8.502,0,SURVEY,0.0,0.0,0.0,99.2
8.502,8.502,1,SURVEY,0.0,0.0,0.0,99.4
8.603,8.603,0,SURVEY,0.0,0.0,0.0,99.2
8.603,8.603,1,SURVEY,0.0,0.0,0.0,99.3
8.703,8.703,0,SURVEY,0.0,0.0,0.0,99.2
8.703,8.703,1,SURVEY,0.0,0.0,0.0,99.3
8.803,8.803,0,SURVEY,0.0,0.0,0.0,99.2
8.803,8.803,1,SURVEY,0.0,0.0,0.0,99.3
8.903,8.903,0,SURVEY,0.0,0.0,0.0,99.2
8.903,8.903,1,SURVEY,0.0,0.0,0.0,99.3
9.003,9.003,0,SURVEY,0.0,0.0,0.0,99.2
9.003,9.003,1,SURVEY,0.0,0.0,0.0,99.3
9.103,9.103,0,SURVEY,0.0,0.0,0.0,99.2
9.103,9.103,1,SURVEY,0.0,0.0,0.0,99.2
9.202,9.202,0,SURVEY,0.0,0.0,0.0,99.2
9.202,9.202,1,SURVEY,0.0,0.0,0.0,99.2
9.303,9.303,0,SURVEY,0.0,0.0,0.0,99.2
9.303,9.303,1,SURVEY,0.0,0.0,0.0,99.2
9.403,9.403,0,SURVEY,0.0,0.0,0.0,99.1
9.403,9.403,1,SURVEY,0.0,0.0,0.0,99.2
9.503,9.503,0,SURVEY,0.0,0.0,0.0,99.1
9.503,9.503,1,SURVEY,0.0,0.0,0.0,99.2
9.603,9.603,0,SURVEY,0.0,0.0,0.0,99.1
9.603,9.603,1,SURVEY,0.0,0.0,0.0,99.2
9.703,9.703,0,SURVEY,0.0,0.0,0.0,99.1
9.703,9.703,1,SURVEY,0.0,0.0,0.0,99.2
9.803,9.803,0,SURVEY,0.0,0.0,0.0,99.1
9.803,9.803,1,SURVEY,0.0,0.0,0.0,99.2
9.903,9.903,0,SURVEY,0.0,0.0,0.0,99.0
9.903,9.903,1,SURVEY,0.0,0.0,0.0,99.2
10.003,10.003,0,SURVEY,0.0,0.0,0.0,99.0
10.003,10.003,1,SURVEY,0.0,0.0,0.0,99.2
10.103,10.103,0,SURVEY,0.0,0.0,0.0,99.0
10.103,10.103,1,SURVEY,0.0,0.0,0.0,99.1
10.203,10.203,0,SURVEY,0.0,0.0,0.0,99.0
10.203,10.203,1,SURVEY,0.0,0.0,0.0,99.1
10.303,10.303,0,SURVEY,0.0,0.0,0.0,99.0
10.303,10.303,1,SURVEY,0.0,0.0,0.0,99.1
10.403,10.403,0,SURVEY,0.0,0.0,0.0,98.9
10.403,10.403,1,SURVEY,0.0,0.0,0.0,99.1
10.503,10.503,0,SURVEY,0.0,0.0,0.0,98.9
10.503,10.503,1,SURVEY,0.0,0.0,0.0,99.1
10.603,10.603,0,SURVEY,0.0,0.0,0.0,98.9
10.603,10.603,1,SURVEY,0.0,0.0,0.0,99.0
10.703,10.703,0,SURVEY,0.0,0.0,0.0,98.9
10.703,10.703,1,SURVEY,0.0,0.0,0.0,99.0
10.803,10.803,0,SURVEY,0.0,0.0,0.0,98.9
10.803,10.803,1,SURVEY,0.0,0.0,0.0,99.0
10.903,10.903,0,SURVEY,0.0,0.0,0.0,98.8
10.903,10.903,1,SURVEY,0.0,0.0,0.0,99.0
11.003,11.003,0,SURVEY,0.0,0.0,0.0,98.8
11.003,11.003,1,SURVEY,0.0,0.0,0.0,99.0
11.103,11.103,0,SURVEY,0.0,0.0,0.0,98.8
11.103,11.103,1,SURVEY,0.0,0.0,0.0,98.9
11.203,11.203,0,SURVEY,0.0,0.0,0.0,98.8
11.203,11.203,1,SURVEY,0.0,0.0,0.0,98.9
11.303,11.303,0,SURVEY,0.0,0.0,0.0,98.8
11.303,11.303,1,SURVEY,0.0,0.0,0.0,98.9
11.403,11.403,0,SURVEY,0.0,0.0,0.0,98.7
11.403,11.403,1,SURVEY,0.0,0.0,0.0,98.9
11.503,11.503,0,SURVEY,0.0,0.0,0.0,98.7
11.503,11.503,1,SURVEY,0.0,0.0,0.0,98.9
11.603,11.603,0,SURVEY,0.0,0.0,0.0,98.7
11.603,11.603,1,SURVEY,0.0,0.0,0.0,98.8
11.703,11.703,0,SURVEY,0.0,0.0,0.0,98.7
11.703,11.703,1,SURVEY,0.0,0.0,0.0,98.8
11.803,11.803,0,SURVEY,0.0,0.0,0.0,98.7
11.803,11.803,1,SURVEY,0.0,0.0,0.0,98.8
11.903,11.903,0,SURVEY,0.0,0.0,0.0,98.7
11.903,11.903,1,SURVEY,0.0,0.0,0.0,98.8
12.003,12.003,0,SURVEY,0.0,0.0,0.0,98.7
12.003,12.003,1,SURVEY,0.0,0.0,0.0,98.8
12.102,12.103,0,SURVEY,0.0,0.0,0.0,98.7
12.102,12.103,1,SURVEY,0.0,0.0,0.0,98.7
12.203,12.203,0,SURVEY,0.0,0.0,0.0,98.7
12.203,12.203,1,SURVEY,0.0,0.0,0.0,98.7
12.303,12.303,0,SURVEY,0.0,0.0,0.0,98.7
12.303,12.303,1,SURVEY,0.0,0.0,0.0,98.7
12.403,12.403,0,SURVEY,0.0,0.0,0.0,98.6
12.403,12.403,1,SURVEY,0.0,0.0,0.0,98.7
12.503,12.503,0,SURVEY,0.0,0.0,0.0,98.6
12.503,12.503,1,SURVEY,0.0,0.0,0.0,98.7
12.603,12.603,0,SURVEY,0.0,0.0,0.0,98.6
12.603,12.603,1,SURVEY,0.0,0.0,0.0,98.7
12.703,12.703,0,SURVEY,0.0,0.0,0.0,98.6
12.703,12.703,1,SURVEY,0.0,0.0,0.0,98.7
12.803,12.803,0,SURVEY,0.0,0.0,0.0,98.6
12.803,12.803,1,SURVEY,0.0,0.0,0.0,98.7
12.903,12.903,0,SURVEY,0.0,0.0,0.0,98.5
12.903,12.903,1,SURVEY,0.0,0.0,0.0,98.7
13.003,13.003,0,SURVEY,0.0,0.0,0.0,98.5
13.003,13.003,1,SURVEY,0.0,0.0,0.0,98.7
13.103,13.103,0,SURVEY,0.0,0.0,0.0,98.5
13.103,13.103,1,SURVEY,0.0,0.0,0.0,98.6
13.203,13.203,0,SURVEY,0.0,0.0,0.0,98.5
13.203,13.203,1,SURVEY,0.0,0.0,0.0,98.6
13.303,13.303,0,SURVEY,0.0,0.0,0.0,98.5
13.303,13.303,1,SURVEY,0.0,0.0,0.0,98.6
13.403,13.403,0,SURVEY,0.0,0.0,0.0,98.4
13.403,13.403,1,SURVEY,0.0,0.0,0.0,98.6
13.503,13.503,0,SURVEY,0.0,0.0,0.0,98.4
13.503,13.503,1,SURVEY,0.0,0.0,0.0,98.6
13.603,13.603,0,SURVEY,0.0,0.0,0.0,98.4
13.603,13.603,1,SURVEY,0.0,0.0,0.0,98.5
13.703,13.703,0,SURVEY,0.0,0.0,0.0,98.4
13.703,13.703,1,SURVEY,0.0,0.0,0.0,98.5
13.803,13.803,0,SURVEY,0.0,0.0,0.0,98.4
13.803,13.803,1,SURVEY,0.0,0.0,0.0,98.5
13.903,13.903,0,SURVEY,0.0,0.0,0.0,98.3
13.903,13.903,1,SURVEY,0.0,0.0,0.0,98.5
14.003,14.003,0,SURVEY,0.0,0.0,0.0,98.3
14.003,14.003,1,SURVEY,0.0,0.0,0.0,98.5
14.103,14.103,0,SURVEY,0.0,0.0,0.0,98.3
14.103,14.103,1,SURVEY,0.0,0.0,0.0,98.4
14.203,14.203,0,SURVEY,0.0,0.0,0.0,98.3
14.203,14.203,1,SURVEY,0.0,0.0,0.0,98.4
14.303,14.303,0,SURVEY,0.0,0.0,0.0,98.3
14.303,14.303,1,SURVEY,0.0,0.0,0.0,98.4
14.403,14.403,0,SURVEY,0.0,0.0,0.0,98.2
14.403,14.403,1,SURVEY,0.0,0.0,0.0,98.4
14.503,14.503,0,SURVEY,0.0,0.0,0.0,98.2
14.503,14.503,1,SURVEY,0.0,0.0,0.0,98.4
14.603,14.603,0,SURVEY,0.0,0.0,0.0,98.2
14.603,14.603,1,SURVEY,0.0,0.0,0.0,98.3
14.703,14.703,0,SURVEY,0.0,0.0,0.0,98.2
14.703,14.703,1,SURVEY,0.0,0.0,0.0,98.3
14.803,14.803,0,SURVEY,0.0,0.0,0.0,98.2
14.803,14.803,1,SURVEY,0.0,0.0,0.0,98.3
14.903,14.903,0,SURVEY,0.0,0.0,0.0,98.2
14.903,14.903,1,SURVEY,0.0,0.0,0.0,98.3
15.003,15.003,0,SURVEY,0.0,0.0,0.0,98.2
15.003,15.003,1,SURVEY,0.0,0.0,0.0,98.3
15.102,15.102,0,SURVEY,0.0,0.0,0.0,98.2
15.102,15.102,1,SURVEY,0.0,0.0,0.0,98.2
