run_id,day,drone_id,flower_id,x,y,pollinated_at
stage16_20260528_014527,5,1,200002,8.378,1.608,2026-05-28 01:46:55
stage16_20260528_014527,5,0,200001,7.879,0.56,2026-05-28 01:46:55
stage16_20260528_014527,5,0,200047,7.114,1.233,2026-05-28 01:47:11
stage16_20260528_014527,5,1,200046,7.575,2.319,2026-05-28 01:47:11
stage16_20260528_014527,5,1,100025,6.106,2.405,2026-05-28 01:47:28
stage16_20260528_014527,5,0,100029,6.112,3.092,2026-05-28 01:47:29
stage16_20260528_014527,5,0,100027,6.418,4.242,2026-05-28 01:47:45
stage16_20260528_014527,5,1,100023,4.153,1.959,2026-05-28 01:47:45
stage16_20260528_014527,5,0,100026,4.955,4.091,2026-05-28 01:48:03
stage16_20260528_014527,5,1,100024,3.314,3.541,2026-05-28 01:48:03
stage16_20260528_014527,5,0,100020,4.424,3.718,2026-05-28 01:48:18
stage16_20260528_014527,5,1,100022,4.418,4.744,2026-05-28 01:48:20
stage16_20260528_014527,5,0,100019,3.343,4.146,2026-05-28 01:48:35
stage16_20260528_014527,5,1,100030,6.318,7.246,2026-05-28 01:48:38
stage16_20260528_014527,5,0,100021,3.592,2.586,2026-05-28 01:48:52
stage16_20260528_014527,5,1,100028,6.609,5.371,2026-05-28 01:48:55
stage16_20260528_014527,5,0,100003,2.715,2.631,2026-05-28 01:49:07
stage16_20260528_014527,5,1,200045,7.387,4.767,2026-05-28 01:49:11
stage16_20260528_014527,5,0,100004,1.284,3.618,2026-05-28 01:49:24
stage16_20260528_014527,5,1,200007,9.389,5.598,2026-05-28 01:49:28
stage16_20260528_014527,5,0,100005,0.683,5.594,2026-05-28 01:49:41
stage16_20260528_014527,5,1,200005,10.062,1.486,2026-05-28 01:49:46
stage16_20260528_014527,5,0,100018,4.378,5.393,2026-05-28 01:49:59
stage16_20260528_014527,5,1,200033,13.099,2.045,2026-05-28 01:50:04
stage16_20260528_014527,5,0,100035,6.609,6.006,2026-05-28 01:50:16
stage16_20260528_014527,5,1,200030,12.14,4.587,2026-05-28 01:50:21
stage16_20260528_014527,5,0,200006,9.817,4.55,2026-05-28 01:50:34
stage16_20260528_014527,5,1,200038,13.805,4.866,2026-05-28 01:50:38
stage16_20260528_014527,5,0,200003,9.001,2.865,2026-05-28 01:50:51
stage16_20260528_014527,5,1,200037,12.971,6.486,2026-05-28 01:50:55
stage16_20260528_014527,5,0,200004,9.887,3.471,2026-05-28 01:51:07
stage16_20260528_014527,5,1,200036,12.579,5.726,2026-05-28 01:51:10
stage16_20260528_014527,5,0,200032,10.915,2.608,2026-05-28 01:51:23
stage16_20260528_014527,5,1,200028,11.512,6.547,2026-05-28 01:51:26
stage16_20260528_014527,5,0,200034,12.791,3.671,2026-05-28 01:51:40
stage16_20260528_014527,5,1,200031,12.215,7.278,2026-05-28 01:51:42
stage16_20260528_014527,5,0,200035,13.807,4.23,2026-05-28 01:51:56
stage16_20260528_014527,5,1,200029,11.405,8.675,2026-05-28 01:51:59
stage16_20260528_014527,5,0,200040,12.975,7.089,2026-05-28 01:52:13
stage16_20260528_014527,5,1,200011,9.595,7.836,2026-05-28 01:52:16
stage16_20260528_014527,5,0,200027,12.172,7.956,2026-05-28 01:52:30
stage16_20260528_014527,5,1,200044,8.016,9.72,2026-05-28 01:52:33
stage16_20260528_014527,5,0,200009,10.085,7.172,2026-05-28 01:52:47
stage16_20260528_014527,5,1,200016,8.178,11.869,2026-05-28 01:52:50
stage16_20260528_014527,5,0,200008,8.195,6.317,2026-05-28 01:53:05
stage16_20260528_014527,5,1,200014,8.985,11.182,2026-05-28 01:53:07
stage16_20260528_014527,5,0,200010,8.516,7.838,2026-05-28 01:53:22
stage16_20260528_014527,5,1,200013,9.773,10.351,2026-05-28 01:53:23
stage16_20260528_014527,5,0,200012,8.793,9.731,2026-05-28 01:53:38
stage16_20260528_014527,5,1,200024,10.204,10.771,2026-05-28 01:53:38
stage16_20260528_014527,5,0,200025,11.385,9.311,2026-05-28 01:54:15
stage16_20260528_014527,5,1,200042,13.97,12.33,2026-05-28 01:54:18
stage16_20260528_014527,5,0,200026,12.22,8.894,2026-05-28 01:54:31
stage16_20260528_014527,5,1,200043,13.219,13.894,2026-05-28 01:54:35
stage16_20260528_014527,5,0,200039,13.194,9.072,2026-05-28 01:54:47
stage16_20260528_014527,5,1,200021,11.354,13.734,2026-05-28 01:54:52
