ts,day,drone_id,type,payload_json
1780581010.645,1,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":1,""day_max"":8}"
1780581012.486,1,0,drone_at_base,{}
1780581012.627,1,1,drone_at_base,{}
1780581017.139,1,,day_start,"{""day"":1,""counts"":{""not_ready"":67,""opening"":3,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780581017.139,1,,survey_start,"{""day"":1}"
1780581080.127,1,1,survey_done,"{""n_observed"":0}"
1780581081.787,1,0,survey_done,"{""n_observed"":0}"
1780581084.639,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581084.64,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581084.642,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581084.642,1,,merge_complete,"{""unique_targets"":0}"
1780581084.642,1,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":1}"
1780581084.987,1,0,drone_at_base,{}
1780581085.129,1,1,drone_at_base,{}
1780581090.137,1,,day_complete,"{""day"":1,""pollinated_today"":0}"
1780581094.137,2,,day_start,"{""day"":2,""counts"":{""not_ready"":58,""opening"":12,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780581094.137,2,,survey_start,"{""day"":2}"
1780581158.078,2,1,survey_done,"{""n_observed"":0}"
1780581159.536,2,0,survey_done,"{""n_observed"":0}"
1780581161.639,2,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581161.641,2,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581161.644,2,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581161.645,2,,merge_complete,"{""unique_targets"":0}"
1780581161.645,2,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":2}"
1780581161.987,2,0,drone_at_base,{}
1780581162.128,2,1,drone_at_base,{}
1780581167.137,2,,day_complete,"{""day"":2,""pollinated_today"":0}"
1780581171.137,3,,day_start,"{""day"":3,""counts"":{""not_ready"":47,""opening"":20,""prime_target"":3,""partial_target"":0,""spent"":0}}"
1780581171.137,3,,survey_start,"{""day"":3}"
