ts,day,drone_id,type,payload_json
1780731951.886,1,,mission_start,"{""n_drones"":2,""start_day"":1,""day_max"":8}"
1780731956.343,1,0,drone_at_base,{}
1780731956.812,1,1,drone_at_base,{}
1780731958.376,1,,day_start,"{""day"":1,""known_landmarks"":0,""known_open"":0,""known_closed"":0,""already_pollinated"":0}"
1780731958.377,1,,survey_start,"{""day"":1}"
1780732105.062,1,1,survey_done,"{""n_open_confirmed"":8,""n_buds"":40}"
1780732113.643,1,0,survey_done,"{""n_open_confirmed"":7,""n_buds"":50}"
1780732115.879,1,,merge_complete,"{""new_open"":15,""new_closed"":81,""newly_opened"":0,""landmarks_total"":96}"
1780732115.88,1,,routes_assigned,"{""route_counts"":{""0"":7,""1"":8},""day"":1}"
1780732129.061,1,1,pollination_success,"{""flower_id"":5005,""x"":10.135,""y"":2.702,""cumulative_total"":1}"
1780732131.193,1,0,pollination_success,"{""flower_id"":5049,""x"":1.966,""y"":1.33,""cumulative_total"":2}"
1780732141.162,1,1,pollination_success,"{""flower_id"":5004,""x"":12.716,""y"":3.205,""cumulative_total"":3}"
1780732150.293,1,0,pollination_success,"{""flower_id"":5048,""x"":5.799,""y"":11.971,""cumulative_total"":4}"
1780732156.612,1,1,pollination_success,"{""flower_id"":5002,""x"":16.199,""y"":9.425,""cumulative_total"":5}"
1780732165.643,1,0,pollination_success,"{""flower_id"":5050,""x"":8.884,""y"":13.281,""cumulative_total"":6}"
1780732169.962,1,1,pollination_success,"{""flower_id"":5006,""x"":19.0,""y"":10.714,""cumulative_total"":7}"
1780732178.743,1,0,pollination_success,"{""flower_id"":5001,""x"":11.432,""y"":13.803,""cumulative_total"":8}"
1780732188.061,1,1,pollination_success,"{""flower_id"":5000,""x"":11.14,""y"":16.99,""cumulative_total"":9}"
1780732193.293,1,0,pollination_success,"{""flower_id"":5003,""x"":16.366,""y"":15.117,""cumulative_total"":10}"
1780732203.911,1,1,pollination_success,"{""flower_id"":5047,""x"":7.468,""y"":19.022,""cumulative_total"":11}"
1780732209.193,1,0,pollination_success,"{""flower_id"":5007,""x"":12.955,""y"":8.031,""cumulative_total"":12}"
1780732221.712,1,1,pollination_success,"{""flower_id"":5046,""x"":2.337,""y"":9.75,""cumulative_total"":13}"
1780732230.442,1,0,pollination_success,"{""flower_id"":5044,""x"":2.825,""y"":14.487,""cumulative_total"":14}"
1780732240.313,1,1,pollination_success,"{""flower_id"":5045,""x"":4.244,""y"":4.749,""cumulative_total"":15}"
1780732249.843,1,0,drone_at_base,{}
1780732252.812,1,1,drone_at_base,{}
1780732252.875,1,,day_complete,"{""day"":1,""pollinated_today"":15}"
1780732256.876,2,,day_start,"{""day"":2,""known_landmarks"":96,""known_open"":15,""known_closed"":81,""already_pollinated"":15}"
1780732256.876,2,,survey_start,"{""day"":2}"
1780732421.311,2,1,survey_done,"{""n_open_confirmed"":20,""n_buds"":42}"
1780732441.593,2,0,survey_done,"{""n_open_confirmed"":22,""n_buds"":51}"
1780732444.377,2,,merge_complete,"{""new_open"":0,""new_closed"":0,""newly_opened"":27,""landmarks_total"":96}"
1780732444.377,2,,routes_assigned,"{""route_counts"":{""0"":13,""1"":14},""day"":2}"
