run_id,day,drone_id,flower_id,x,y,pollinated_at
stage16_20260602_172940,5,0,100043,7.137,1.504,2026-06-02 17:47:52
stage16_20260602_172940,5,0,100042,8.425,1.773,2026-06-02 17:48:14
stage16_20260602_172940,5,0,100083,8.779,3.143,2026-06-02 17:48:38
stage16_20260602_172940,5,1,100005,1.311,3.827,2026-06-02 17:48:43
stage16_20260602_172940,5,1,100006,0.751,5.534,2026-06-02 17:48:59
stage16_20260602_172940,5,0,100048,9.846,3.769,2026-06-02 17:49:01
stage16_20260602_172940,5,1,100017,3.046,7.691,2026-06-02 17:49:13
stage16_20260602_172940,5,0,100082,10.461,1.672,2026-06-02 17:49:21
stage16_20260602_172940,5,0,100074,13.522,1.884,2026-06-02 17:50:29
stage16_20260602_172940,5,0,100075,13.854,4.489,2026-06-02 17:52:27
stage16_20260602_172940,5,0,100068,12.91,6.863,2026-06-02 17:52:55
stage16_20260602_172940,5,0,100072,12.296,7.554,2026-06-02 17:53:20
stage16_20260602_172940,5,1,100008,2.183,10.821,2026-06-02 17:54:08
stage16_20260602_172940,5,0,100065,11.7,8.76,2026-06-02 17:54:26
stage16_20260602_172940,5,1,100009,2.264,12.95,2026-06-02 17:55:15
stage16_20260602_172940,5,0,100078,13.607,10.875,2026-06-02 17:56:41
stage16_20260602_172940,5,1,100034,5.633,14.243,2026-06-02 17:56:50
stage16_20260602_172940,5,0,200050,13.453,11.279,2026-06-02 17:57:01
stage16_20260602_172940,5,1,100035,7.151,14.421,2026-06-02 17:57:10
stage16_20260602_172940,5,0,100079,13.906,12.427,2026-06-02 17:57:19
stage16_20260602_172940,5,1,100062,9.66,13.504,2026-06-02 17:57:26
stage16_20260602_172940,5,1,100060,9.303,11.982,2026-06-02 17:57:47
stage16_20260602_172940,5,1,100088,8.301,12.969,2026-06-02 17:58:05
stage16_20260602_172940,5,0,100061,11.328,13.845,2026-06-02 17:58:26
stage16_20260602_172940,5,1,100037,8.204,11.975,2026-06-02 17:58:27
stage16_20260602_172940,5,1,100038,7.914,9.755,2026-06-02 17:58:43
stage16_20260602_172940,5,1,100055,8.809,9.88,2026-06-02 17:59:04
stage16_20260602_172940,5,1,100053,8.641,7.87,2026-06-02 17:59:20
stage16_20260602_172940,5,0,100059,8.642,14.085,2026-06-02 17:59:30
stage16_20260602_172940,5,1,100052,10.253,6.978,2026-06-02 17:59:34
stage16_20260602_172940,5,1,100084,11.332,8.967,2026-06-02 17:59:56
stage16_20260602_172940,5,1,100064,11.94,11.265,2026-06-02 18:00:15
stage16_20260602_172940,5,0,200036,9.076,11.063,2026-06-02 18:01:57
stage16_20260602_172940,5,0,100056,9.824,10.694,2026-06-02 18:02:21
stage16_20260602_172940,5,0,100063,11.543,11.64,2026-06-02 18:02:37
stage16_20260602_172940,5,1,100077,13.457,9.066,2026-06-02 18:02:51
stage16_20260602_172940,5,0,100054,9.57,8.06,2026-06-02 18:03:00
stage16_20260602_172940,5,1,100066,12.155,8.81,2026-06-02 18:03:04
stage16_20260602_172940,5,1,100069,11.7,6.183,2026-06-02 18:03:19
stage16_20260602_172940,5,0,100039,8.22,6.517,2026-06-02 18:03:23
stage16_20260602_172940,5,1,100070,12.668,5.752,2026-06-02 18:03:38
stage16_20260602_172940,5,0,100031,6.214,7.248,2026-06-02 18:03:39
stage16_20260602_172940,5,0,100028,6.441,4.495,2026-06-02 18:04:04
stage16_20260602_172940,5,0,100040,7.354,4.373,2026-06-02 18:04:27
stage16_20260602_172940,5,0,100022,4.327,3.61,2026-06-02 18:05:39
stage16_20260602_172940,5,0,100024,3.446,2.334,2026-06-02 18:05:53
stage16_20260602_172940,5,1,100073,12.915,3.631,2026-06-02 18:06:28
stage16_20260602_172940,5,0,100003,1.138,1.988,2026-06-02 18:06:59
stage16_20260602_172940,5,0,100004,0.795,2.937,2026-06-02 18:07:19
stage16_20260602_172940,5,1,100049,10.84,2.285,2026-06-02 18:07:40
stage16_20260602_172940,5,1,100047,9.228,2.844,2026-06-02 18:08:02
stage16_20260602_172940,5,0,100007,2.211,6.625,2026-06-02 18:08:25
stage16_20260602_172940,5,1,100050,9.826,4.799,2026-06-02 18:08:29
stage16_20260602_172940,5,1,100051,9.33,5.746,2026-06-02 18:08:49
stage16_20260602_172940,5,1,100030,6.571,5.629,2026-06-02 18:09:12
stage16_20260602_172940,5,1,100027,5.035,4.043,2026-06-02 18:09:27
stage16_20260602_172940,5,1,100020,4.391,5.043,2026-06-02 18:09:49
stage16_20260602_172940,5,1,100021,3.266,3.635,2026-06-02 18:10:16
stage16_20260602_172940,5,0,100016,3.757,8.704,2026-06-02 18:10:17
stage16_20260602_172940,5,0,100015,3.317,9.775,2026-06-02 18:10:31
stage16_20260602_172940,5,1,100023,2.817,2.742,2026-06-02 18:10:32
stage16_20260602_172940,5,0,100032,4.552,10.24,2026-06-02 18:10:45
stage16_20260602_172940,5,1,100025,4.141,1.859,2026-06-02 18:10:50
stage16_20260602_172940,5,0,100012,2.971,11.628,2026-06-02 18:11:07
stage16_20260602_172940,5,1,100029,6.288,2.741,2026-06-02 18:12:03
stage16_20260602_172940,5,1,100041,7.58,1.978,2026-06-02 18:12:23
stage16_20260602_172940,5,1,100045,7.933,0.693,2026-06-02 18:12:41
stage16_20260602_172940,5,0,100010,2.837,13.724,2026-06-02 18:15:45
stage16_20260602_172940,5,0,100033,5.308,12.442,2026-06-02 18:16:02
