ts,day,drone_id,type,payload_json
1780582915.294,1,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":1,""day_max"":8}"
1780582916.625,1,0,drone_at_base,{}
1780582917.032,1,1,drone_at_base,{}
1780582921.788,1,,day_start,"{""day"":1,""counts"":{""not_ready"":67,""opening"":3,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780582921.788,1,,survey_start,"{""day"":1}"
1780583216.627,1,0,survey_done,"{""n_observed"":0}"
1780583224.832,1,1,survey_done,"{""n_observed"":1}"
1780583227.788,1,,landmark_map,"{""known"":1,""new_today"":1,""pollinated"":0,""routed"":1}"
1780583227.789,1,,landmark_map,"{""known"":1,""new_today"":0,""pollinated"":0,""routed"":1}"
1780583227.79,1,,landmark_map,"{""known"":1,""new_today"":0,""pollinated"":0,""routed"":1}"
1780583227.79,1,,merge_complete,"{""unique_targets"":1}"
1780583227.79,1,,routes_assigned,"{""route_counts"":{""0"":0,""1"":1},""day"":1}"
1780583228.126,1,0,drone_at_base,{}
1780583249.532,1,1,pollination_success,"{""flower_id"":200003,""x"":9.523,""y"":13.776,""cumulative_total"":1}"
1780583269.031,1,1,drone_at_base,{}
1780583269.287,1,,day_complete,"{""day"":1,""pollinated_today"":1}"
1780583273.288,2,,day_start,"{""day"":2,""counts"":{""not_ready"":58,""opening"":12,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780583273.289,2,,survey_start,"{""day"":2}"
1780583582.981,2,1,survey_done,"{""n_observed"":2}"
1780583586.225,2,0,survey_done,"{""n_observed"":0}"
