run_id,day,drone_id,flower_id,x,y,pollinated_at
stage16_20260529_132035,5,0,100041,7.737,0.965,2026-05-29 13:35:01
stage16_20260529_132035,5,0,100038,8.426,1.777,2026-05-29 13:35:23
stage16_20260529_132035,5,1,100043,10.312,1.542,2026-05-29 13:35:46
stage16_20260529_132035,5,0,100046,10.852,2.276,2026-05-29 13:35:51
stage16_20260529_132035,5,1,100044,8.971,3.017,2026-05-29 13:36:08
stage16_20260529_132035,5,0,100074,13.413,2.132,2026-05-29 13:36:14
stage16_20260529_132035,5,1,100045,9.854,3.761,2026-05-29 13:36:30
stage16_20260529_132035,5,1,100047,9.826,4.792,2026-05-29 13:36:56
stage16_20260529_132035,5,1,100026,6.576,5.632,2026-05-29 13:37:21
stage16_20260529_132035,5,1,100035,8.217,6.514,2026-05-29 13:37:44
stage16_20260529_132035,5,1,100051,8.636,7.862,2026-05-29 13:37:58
stage16_20260529_132035,5,0,100073,13.854,4.511,2026-05-29 13:38:13
stage16_20260529_132035,5,1,100050,9.573,8.057,2026-05-29 13:38:19
stage16_20260529_132035,5,0,100071,12.903,3.611,2026-05-29 13:38:29
stage16_20260529_132035,5,1,100064,11.368,8.943,2026-05-29 13:38:42
stage16_20260529_132035,5,0,100068,11.4,6.428,2026-05-29 13:38:44
stage16_20260529_132035,5,0,100049,10.255,6.988,2026-05-29 13:38:57
stage16_20260529_132035,5,1,100066,12.28,7.556,2026-05-29 13:39:09
stage16_20260529_132035,5,0,100048,9.322,5.833,2026-05-29 13:39:16
stage16_20260529_132035,5,1,100067,12.922,6.861,2026-05-29 13:39:35
stage16_20260529_132035,5,1,100069,12.674,5.752,2026-05-29 13:39:54
stage16_20260529_132035,5,1,100070,12.161,4.451,2026-05-29 13:40:12
stage16_20260529_132035,5,0,100024,5.017,4.327,2026-05-29 13:40:21
stage16_20260529_132035,5,0,100017,4.384,5.043,2026-05-29 13:40:44
stage16_20260529_132035,5,0,100021,3.69,2.483,2026-05-29 13:41:00
stage16_20260529_132035,5,0,100020,2.587,2.577,2026-05-29 13:41:13
stage16_20260529_132035,5,0,100001,1.138,1.972,2026-05-29 13:41:34
stage16_20260529_132035,5,0,200001,0.718,2.77,2026-05-29 13:41:53
stage16_20260529_132035,5,0,100004,1.31,3.823,2026-05-29 13:42:11
stage16_20260529_132035,5,0,100006,2.207,6.624,2026-05-29 13:42:30
stage16_20260529_132035,5,1,100076,13.36,10.971,2026-05-29 13:42:51
stage16_20260529_132035,5,1,100077,13.901,12.412,2026-05-29 13:43:33
stage16_20260529_132035,5,0,100014,3.319,9.792,2026-05-29 13:43:54
stage16_20260529_132035,5,1,100078,13.434,13.985,2026-05-29 13:43:59
stage16_20260529_132035,5,0,100013,3.755,8.701,2026-05-29 13:44:11
stage16_20260529_132035,5,1,100059,11.303,13.918,2026-05-29 13:44:21
stage16_20260529_132035,5,0,100015,2.898,7.954,2026-05-29 13:44:28
stage16_20260529_132035,5,1,100058,9.307,11.973,2026-05-29 13:44:44
stage16_20260529_132035,5,0,100027,6.218,7.242,2026-05-29 13:44:44
stage16_20260529_132035,5,1,200085,8.172,12.917,2026-05-29 13:45:03
stage16_20260529_132035,5,0,100052,8.813,9.882,2026-05-29 13:45:07
stage16_20260529_132035,5,0,100055,8.974,11.065,2026-05-29 13:45:21
stage16_20260529_132035,5,0,100053,9.83,10.69,2026-05-29 13:45:45
stage16_20260529_132035,5,1,100029,5.308,12.437,2026-05-29 13:46:05
stage16_20260529_132035,5,0,100075,13.245,9.139,2026-05-29 13:46:06
stage16_20260529_132035,5,0,100065,12.321,8.879,2026-05-29 13:46:19
stage16_20260529_132035,5,1,100010,3.716,11.796,2026-05-29 13:46:26
stage16_20260529_132035,5,1,100028,4.549,10.239,2026-05-29 13:46:43
stage16_20260529_132035,5,1,100007,2.18,10.816,2026-05-29 13:47:09
stage16_20260529_132035,5,0,100063,12.185,11.223,2026-05-29 13:47:24
stage16_20260529_132035,5,1,100008,2.243,12.955,2026-05-29 13:47:33
stage16_20260529_132035,5,0,100062,11.336,11.662,2026-05-29 13:47:38
stage16_20260529_132035,5,0,100060,9.671,13.49,2026-05-29 13:47:51
stage16_20260529_132035,5,1,100082,2.8,13.707,2026-05-29 13:47:58
stage16_20260529_132035,5,0,100057,8.645,14.087,2026-05-29 13:48:08
stage16_20260529_132035,5,0,100033,8.203,11.976,2026-05-29 13:48:31
stage16_20260529_132035,5,0,100030,5.838,14.412,2026-05-29 13:48:57
stage16_20260529_132035,5,1,100005,0.786,5.757,2026-05-29 13:49:53
stage16_20260529_132035,5,1,100016,3.591,6.376,2026-05-29 13:50:08
stage16_20260529_132035,5,1,100081,2.996,3.645,2026-05-29 13:50:35
stage16_20260529_132035,5,1,100019,4.322,3.598,2026-05-29 13:50:51
stage16_20260529_132035,5,1,100023,6.193,2.736,2026-05-29 13:51:16
stage16_20260529_132035,5,1,100080,7.542,2.181,2026-05-29 13:51:45
