run_id,day,drone_id,flower_id,x,y,pollinated_at
stage16_20260604_230755,3,1,55,10.164,7.018,2026-06-04 23:14:23
stage16_20260604_230755,3,0,20,9.673,13.577,2026-06-04 23:14:27
stage16_20260604_230755,3,1,53,9.013,11.151,2026-06-04 23:14:39
stage16_20260604_230755,4,1,17,7.604,2.147,2026-06-04 23:17:38
stage16_20260604_230755,4,0,18,7.913,0.708,2026-06-04 23:17:48
stage16_20260604_230755,4,1,70,5.083,4.039,2026-06-04 23:17:54
stage16_20260604_230755,4,0,52,9.85,3.755,2026-06-04 23:18:11
stage16_20260604_230755,4,1,58,4.395,5.048,2026-06-04 23:18:15
stage16_20260604_230755,4,0,30,4.579,10.174,2026-06-04 23:18:30
stage16_20260604_230755,4,1,6,8.208,11.98,2026-06-04 23:18:42
stage16_20260604_230755,4,0,49,3.309,9.743,2026-06-04 23:18:44
stage16_20260604_230755,4,1,22,12.935,6.84,2026-06-04 23:19:12
stage16_20260604_230755,5,1,63,6.979,1.384,2026-06-04 23:21:39
stage16_20260604_230755,5,0,61,7.34,4.412,2026-06-04 23:21:48
stage16_20260604_230755,5,1,12,2.643,2.599,2026-06-04 23:21:55
stage16_20260604_230755,5,0,69,3.095,7.796,2026-06-04 23:22:06
stage16_20260604_230755,5,0,60,0.78,5.484,2026-06-04 23:22:21
stage16_20260604_230755,5,1,38,12.3,7.574,2026-06-04 23:22:26
stage16_20260604_230755,5,0,10,12.163,11.254,2026-06-04 23:22:46
stage16_20260604_230755,5,1,45,13.85,4.496,2026-06-04 23:22:55
stage16_20260604_230755,5,0,21,13.333,10.972,2026-06-04 23:23:04
stage16_20260604_230755,5,1,56,8.151,12.902,2026-06-04 23:23:19
stage16_20260604_230755,5,1,46,8.596,14.076,2026-06-04 23:23:37
stage16_20260604_230755,6,0,19,8.416,1.771,2026-06-04 23:26:33
stage16_20260604_230755,6,1,9,8.984,3.027,2026-06-04 23:26:33
stage16_20260604_230755,6,0,23,10.327,1.501,2026-06-04 23:26:53
stage16_20260604_230755,6,1,34,9.835,4.78,2026-06-04 23:27:00
stage16_20260604_230755,6,0,36,12.658,5.726,2026-06-04 23:27:13
stage16_20260604_230755,6,1,57,12.122,4.471,2026-06-04 23:27:20
stage16_20260604_230755,6,1,41,12.925,3.557,2026-06-04 23:27:34
stage16_20260604_230755,6,0,43,9.811,10.697,2026-06-04 23:27:58
stage16_20260604_230755,6,1,40,8.203,6.517,2026-06-04 23:27:59
stage16_20260604_230755,6,0,51,11.495,13.754,2026-06-04 23:28:19
stage16_20260604_230755,6,1,27,6.438,4.488,2026-06-04 23:28:26
stage16_20260604_230755,6,1,24,3.614,2.499,2026-06-04 23:28:43
stage16_20260604_230755,6,0,62,13.206,14.038,2026-06-04 23:28:46
stage16_20260604_230755,6,1,1,2.214,10.785,2026-06-04 23:29:13
stage16_20260604_230755,6,0,4,2.815,13.718,2026-06-04 23:29:20
stage16_20260604_230755,6,1,47,2.273,12.933,2026-06-04 23:29:38
