ts,day,drone_id,type,payload_json
1779901086.036,5,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":5,""day_max"":8}"
1779901086.531,5,0,drone_at_base,{}
1779901086.89,5,1,drone_at_base,{}
1779901092.528,5,,day_start,"{""day"":5,""counts"":{""not_ready"":10,""opening"":37,""prime_target"":23,""partial_target"":0,""spent"":0}}"
1779901092.528,5,,survey_start,"{""day"":5}"
1779901154.592,5,1,survey_done,"{""n_observed"":0}"
1779901157.127,5,0,survey_done,"{""n_observed"":0}"
1779901159.528,5,,merge_complete,"{""unique_targets"":0}"
1779901159.528,5,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":5}"
1779901159.892,5,1,drone_at_base,{}
1779901160.027,5,0,drone_at_base,{}
1779901165.027,5,,day_complete,"{""day"":5,""pollinated_today"":0}"
1779901169.028,6,,day_start,"{""day"":6,""counts"":{""not_ready"":2,""opening"":24,""prime_target"":41,""partial_target"":3,""spent"":0}}"
1779901169.028,6,,survey_start,"{""day"":6}"
1779901232.541,6,1,survey_done,"{""n_observed"":0}"
1779901235.028,6,0,survey_done,"{""n_observed"":0}"
1779901237.529,6,,merge_complete,"{""unique_targets"":0}"
1779901237.529,6,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":6}"
1779901237.892,6,1,drone_at_base,{}
1779901238.027,6,0,drone_at_base,{}
1779901243.027,6,,day_complete,"{""day"":6,""pollinated_today"":0}"
1779901247.028,7,,day_start,"{""day"":7,""counts"":{""not_ready"":0,""opening"":10,""prime_target"":48,""partial_target"":12,""spent"":0}}"
1779901247.028,7,,survey_start,"{""day"":7}"
1779901309.342,7,1,survey_done,"{""n_observed"":0}"
1779901311.727,7,0,survey_done,"{""n_observed"":0}"
1779901314.028,7,,merge_complete,"{""unique_targets"":0}"
1779901314.028,7,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":7}"
1779901314.391,7,1,drone_at_base,{}
1779901314.527,7,0,drone_at_base,{}
1779901319.527,7,,day_complete,"{""day"":7,""pollinated_today"":0}"
1779901323.528,8,,day_start,"{""day"":8,""counts"":{""not_ready"":0,""opening"":2,""prime_target"":45,""partial_target"":23,""spent"":0}}"
1779901323.528,8,,survey_start,"{""day"":8}"
1779901385.24,8,1,survey_done,"{""n_observed"":0}"
1779901387.777,8,0,survey_done,"{""n_observed"":0}"
1779901390.028,8,,merge_complete,"{""unique_targets"":0}"
1779901390.028,8,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":8}"
1779901390.39,8,1,drone_at_base,{}
1779901390.529,8,0,drone_at_base,{}
1779901395.527,8,,day_complete,"{""day"":8,""pollinated_today"":0}"
1779901399.527,8,,mission_complete,"{""total_pollinated"":0,""duration_s"":313.5}"
