ts,day,drone_id,type,payload_json
1779901652.975,5,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":5,""day_max"":8}"
1779901653.485,5,0,drone_at_base,{}
1779901653.921,5,1,drone_at_base,{}
1779901659.47,5,,day_start,"{""day"":5,""counts"":{""not_ready"":10,""opening"":37,""prime_target"":23,""partial_target"":0,""spent"":0}}"
1779901659.471,5,,survey_start,"{""day"":5}"
1779901719.171,5,1,survey_done,"{""n_observed"":0}"
1779901721.286,5,0,survey_done,"{""n_observed"":0}"
1779901723.47,5,,merge_complete,"{""unique_targets"":0}"
1779901723.471,5,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":5}"
1779901723.921,5,1,drone_at_base,{}
1779901723.986,5,0,drone_at_base,{}
1779901728.969,5,,day_complete,"{""day"":5,""pollinated_today"":0}"
1779901732.971,6,,day_start,"{""day"":6,""counts"":{""not_ready"":2,""opening"":24,""prime_target"":41,""partial_target"":3,""spent"":0}}"
1779901732.972,6,,survey_start,"{""day"":6}"
1779901792.372,6,1,survey_done,"{""n_observed"":0}"
1779901794.736,6,0,survey_done,"{""n_observed"":0}"
1779901796.97,6,,merge_complete,"{""unique_targets"":0}"
1779901796.971,6,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":6}"
1779901797.422,6,1,drone_at_base,{}
1779901797.486,6,0,drone_at_base,{}
1779901802.469,6,,day_complete,"{""day"":6,""pollinated_today"":0}"
1779901806.469,7,,day_start,"{""day"":7,""counts"":{""not_ready"":0,""opening"":10,""prime_target"":48,""partial_target"":12,""spent"":0}}"
1779901806.47,7,,survey_start,"{""day"":7}"
1779901862.122,7,1,survey_done,"{""n_observed"":0}"
1779901864.485,7,0,survey_done,"{""n_observed"":0}"
1779901866.971,7,,merge_complete,"{""unique_targets"":0}"
1779901866.971,7,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":7}"
1779901867.421,7,1,drone_at_base,{}
1779901867.487,7,0,drone_at_base,{}
1779901872.469,7,,day_complete,"{""day"":7,""pollinated_today"":0}"
1779901876.47,8,,day_start,"{""day"":8,""counts"":{""not_ready"":0,""opening"":2,""prime_target"":45,""partial_target"":23,""spent"":0}}"
1779901876.47,8,,survey_start,"{""day"":8}"
1779901937.02,8,1,survey_done,"{""n_observed"":0}"
1779901938.886,8,0,survey_done,"{""n_observed"":0}"
1779901940.97,8,,merge_complete,"{""unique_targets"":0}"
1779901940.97,8,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":8}"
1779901941.421,8,1,drone_at_base,{}
1779901941.485,8,0,drone_at_base,{}
1779901946.469,8,,day_complete,"{""day"":8,""pollinated_today"":0}"
1779901950.469,8,,mission_complete,"{""total_pollinated"":0,""duration_s"":297.5}"
