ts,day,drone_id,type,payload_json
1780409567.087,5,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":5,""day_max"":8}"
1780409567.635,5,0,drone_at_base,{}
1780409568.105,5,1,drone_at_base,{}
1780409573.578,5,,day_start,"{""day"":5,""counts"":{""not_ready"":10,""opening"":37,""prime_target"":23,""partial_target"":0,""spent"":0}}"
1780409573.579,5,,survey_start,"{""day"":5}"
1780410256.886,5,0,survey_done,"{""n_observed"":75}"
1780410359.902,5,1,survey_done,"{""n_observed"":84}"
1780410362.613,5,,merge_complete,"{""unique_targets"":92}"
1780410362.613,5,,routes_assigned,"{""route_counts"":{""0"":46,""1"":46},""day"":5}"
1780410379.253,5,1,pollination_success,"{""flower_id"":100042,""x"":7.607,""y"":2.149,""cumulative_total"":1}"
1780410380.186,5,0,pollination_success,"{""flower_id"":100045,""x"":7.754,""y"":0.831,""cumulative_total"":2}"
1780410395.636,5,0,pollination_success,"{""flower_id"":100044,""x"":7.115,""y"":1.524,""cumulative_total"":3}"
1780410405.653,5,1,pollination_success,"{""flower_id"":100030,""x"":6.271,""y"":2.741,""cumulative_total"":4}"
1780410418.437,5,0,pollination_success,"{""flower_id"":100043,""x"":8.434,""y"":1.776,""cumulative_total"":5}"
1780410444.786,5,0,pollination_success,"{""flower_id"":100088,""x"":8.815,""y"":3.171,""cumulative_total"":6}"
1780410468.103,5,1,pollination_success,"{""flower_id"":100023,""x"":4.324,""y"":3.602,""cumulative_total"":7}"
1780410468.436,5,0,pollination_success,"{""flower_id"":100049,""x"":9.852,""y"":3.758,""cumulative_total"":8}"
1780410481.853,5,1,pollination_success,"{""flower_id"":100025,""x"":3.42,""y"":2.29,""cumulative_total"":9}"
1780410489.087,5,0,pollination_success,"{""flower_id"":100047,""x"":10.308,""y"":1.542,""cumulative_total"":10}"
1780410496.202,5,1,pollination_success,"{""flower_id"":100024,""x"":2.815,""y"":2.763,""cumulative_total"":11}"
1780410518.804,5,1,pollination_success,"{""flower_id"":100003,""x"":1.137,""y"":1.982,""cumulative_total"":12}"
1780410564.586,5,0,pollination_success,"{""flower_id"":100077,""x"":13.855,""y"":4.51,""cumulative_total"":13}"
1780410584.736,5,0,pollination_success,"{""flower_id"":200046,""x"":12.139,""y"":4.476,""cumulative_total"":14}"
1780410600.252,5,1,pollination_success,"{""flower_id"":100020,""x"":3.557,""y"":6.532,""cumulative_total"":15}"
1780410618.503,5,1,pollination_success,"{""flower_id"":100007,""x"":2.215,""y"":6.62,""cumulative_total"":16}"
1780410718.486,5,0,pollination_success,"{""flower_id"":100074,""x"":12.289,""y"":7.552,""cumulative_total"":17}"
1780410744.686,5,0,pollination_success,"{""flower_id"":100070,""x"":12.91,""y"":6.866,""cumulative_total"":18}"
1780410809.986,5,0,pollination_success,"{""flower_id"":100078,""x"":13.244,""y"":9.136,""cumulative_total"":19}"
1780410828.186,5,0,pollination_success,"{""flower_id"":100079,""x"":13.581,""y"":10.856,""cumulative_total"":20}"
1780410829.653,5,1,pollination_success,"{""flower_id"":100010,""x"":3.06,""y"":13.701,""cumulative_total"":21}"
1780410846.152,5,1,pollination_success,"{""flower_id"":100034,""x"":5.306,""y"":12.433,""cumulative_total"":22}"
1780410860.753,5,1,pollination_success,"{""flower_id"":100033,""x"":4.551,""y"":10.237,""cumulative_total"":23}"
1780410875.053,5,1,pollination_success,"{""flower_id"":100015,""x"":3.332,""y"":9.794,""cumulative_total"":24}"
1780410891.804,5,1,pollination_success,"{""flower_id"":100014,""x"":3.757,""y"":8.698,""cumulative_total"":25}"
1780410915.003,5,1,pollination_success,"{""flower_id"":100031,""x"":6.582,""y"":5.63,""cumulative_total"":26}"
1780410939.986,5,0,pollination_success,"{""flower_id"":100063,""x"":11.324,""y"":13.851,""cumulative_total"":27}"
1780410966.186,5,0,pollination_success,"{""flower_id"":100057,""x"":9.823,""y"":10.698,""cumulative_total"":28}"
1780410980.903,5,1,pollination_success,"{""flower_id"":100083,""x"":7.28,""y"":4.321,""cumulative_total"":29}"
1780411004.653,5,1,pollination_success,"{""flower_id"":100040,""x"":8.217,""y"":6.513,""cumulative_total"":30}"
1780411024.352,5,1,pollination_success,"{""flower_id"":100052,""x"":9.331,""y"":5.747,""cumulative_total"":31}"
1780411033.635,5,0,pollination_success,"{""flower_id"":100062,""x"":9.323,""y"":11.979,""cumulative_total"":32}"
1780411050.753,5,1,pollination_success,"{""flower_id"":100051,""x"":9.831,""y"":4.795,""cumulative_total"":33}"
1780411056.087,5,0,pollination_success,"{""flower_id"":100038,""x"":8.21,""y"":11.971,""cumulative_total"":34}"
1780411073.503,5,1,pollination_success,"{""flower_id"":100048,""x"":9.224,""y"":2.859,""cumulative_total"":35}"
1780411110.103,5,1,pollination_success,"{""flower_id"":100050,""x"":10.837,""y"":2.285,""cumulative_total"":36}"
1780411125.287,5,0,pollination_success,"{""flower_id"":100035,""x"":5.622,""y"":14.231,""cumulative_total"":37}"
1780411127.203,5,1,pollination_success,"{""flower_id"":100075,""x"":12.914,""y"":3.62,""cumulative_total"":38}"
1780411148.203,5,1,pollination_success,"{""flower_id"":100076,""x"":13.517,""y"":1.91,""cumulative_total"":39}"
1780411221.085,5,0,pollination_success,"{""flower_id"":100009,""x"":2.245,""y"":12.954,""cumulative_total"":40}"
1780411248.036,5,0,pollination_success,"{""flower_id"":100008,""x"":2.186,""y"":10.816,""cumulative_total"":41}"
1780411311.686,5,0,pollination_success,"{""flower_id"":100006,""x"":0.748,""y"":5.542,""cumulative_total"":42}"
1780411330.386,5,0,pollination_success,"{""flower_id"":100005,""x"":1.313,""y"":3.823,""cumulative_total"":43}"
1780411349.236,5,0,pollination_success,"{""flower_id"":100004,""x"":0.844,""y"":2.906,""cumulative_total"":44}"
1780411350.702,5,1,pollination_success,"{""flower_id"":100072,""x"":12.675,""y"":5.755,""cumulative_total"":45}"
1780411366.702,5,1,pollination_success,"{""flower_id"":100053,""x"":10.107,""y"":6.96,""cumulative_total"":46}"
1780411388.002,5,1,pollination_success,"{""flower_id"":100067,""x"":11.702,""y"":8.759,""cumulative_total"":47}"
1780411403.252,5,1,pollination_success,"{""flower_id"":100068,""x"":12.157,""y"":8.81,""cumulative_total"":48}"
1780411421.035,5,0,pollination_success,"{""flower_id"":100022,""x"":3.323,""y"":3.426,""cumulative_total"":49}"
1780411421.252,5,1,pollination_success,"{""flower_id"":200041,""x"":12.135,""y"":11.232,""cumulative_total"":50}"
1780411435.203,5,1,pollination_success,"{""flower_id"":100065,""x"":11.587,""y"":11.519,""cumulative_total"":51}"
1780411440.886,5,0,pollination_success,"{""flower_id"":100026,""x"":4.143,""y"":1.848,""cumulative_total"":52}"
1780411456.003,5,1,pollination_success,"{""flower_id"":100080,""x"":13.903,""y"":12.416,""cumulative_total"":53}"
1780411459.186,5,0,pollination_success,"{""flower_id"":100028,""x"":5.047,""y"":4.279,""cumulative_total"":54}"
1780411472.653,5,1,pollination_success,"{""flower_id"":100064,""x"":9.677,""y"":13.486,""cumulative_total"":55}"
1780411481.435,5,0,pollination_success,"{""flower_id"":100019,""x"":4.374,""y"":5.043,""cumulative_total"":56}"
1780411509.336,5,0,pollination_success,"{""flower_id"":100029,""x"":6.441,""y"":4.498,""cumulative_total"":57}"
1780411526.385,5,0,pollination_success,"{""flower_id"":100032,""x"":6.215,""y"":7.246,""cumulative_total"":58}"
1780411534.002,5,1,pollination_success,"{""flower_id"":100060,""x"":8.65,""y"":14.086,""cumulative_total"":59}"
1780411540.286,5,0,pollination_success,"{""flower_id"":100016,""x"":3.078,""y"":7.625,""cumulative_total"":60}"
1780411553.253,5,1,pollination_success,"{""flower_id"":200086,""x"":8.172,""y"":12.923,""cumulative_total"":61}"
1780411609.136,5,0,pollination_success,"{""flower_id"":100012,""x"":2.935,""y"":11.644,""cumulative_total"":62}"
1780411645.153,5,1,pollination_success,"{""flower_id"":100056,""x"":8.806,""y"":9.884,""cumulative_total"":63}"
1780411662.103,5,1,drone_at_base,{}
1780411672.086,5,0,pollination_success,"{""flower_id"":100039,""x"":7.997,""y"":9.698,""cumulative_total"":64}"
1780411705.735,5,0,pollination_success,"{""flower_id"":100055,""x"":8.652,""y"":7.846,""cumulative_total"":65}"
1780411726.586,5,0,pollination_success,"{""flower_id"":100054,""x"":9.574,""y"":8.063,""cumulative_total"":66}"
1780411741.637,5,0,drone_at_base,{}
1780411742.078,5,,day_complete,"{""day"":5,""pollinated_today"":66}"
1780411746.078,6,,day_start,"{""day"":6,""counts"":{""not_ready"":2,""opening"":24,""prime_target"":41,""partial_target"":3,""spent"":0}}"
