ts,day,drone_id,type,payload_json
1780581735.661,1,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":1,""day_max"":8}"
1780581737.546,1,0,drone_at_base,{}
1780581737.669,1,1,drone_at_base,{}
1780581742.158,1,,day_start,"{""day"":1,""counts"":{""not_ready"":67,""opening"":3,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780581742.159,1,,survey_start,"{""day"":1}"
1780581803.418,1,1,survey_done,"{""n_observed"":0}"
1780581806.046,1,0,survey_done,"{""n_observed"":0}"
1780581808.658,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581808.659,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581808.66,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780581808.66,1,,merge_complete,"{""unique_targets"":0}"
1780581808.66,1,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":1}"
1780581809.046,1,0,drone_at_base,{}
1780581809.169,1,1,drone_at_base,{}
1780581814.156,1,,day_complete,"{""day"":1,""pollinated_today"":0}"
1780581818.156,2,,day_start,"{""day"":2,""counts"":{""not_ready"":58,""opening"":12,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780581818.157,2,,survey_start,"{""day"":2}"
