ts,day,drone_id,type,payload_json
1780028419.517,5,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":5,""day_max"":8}"
1780028420.012,5,0,drone_at_base,{}
1780028420.431,5,1,drone_at_base,{}
1780028426.006,5,,day_start,"{""day"":5,""counts"":{""not_ready"":10,""opening"":37,""prime_target"":23,""partial_target"":0,""spent"":0}}"
1780028426.006,5,,survey_start,"{""day"":5}"
1780028486.181,5,1,survey_done,"{""n_observed"":41}"
1780028488.263,5,0,survey_done,"{""n_observed"":32}"
1780028491.034,5,,merge_complete,"{""unique_targets"":68}"
1780028491.035,5,,routes_assigned,"{""route_counts"":{""0"":34,""1"":34},""day"":5}"
1780028507.213,5,0,pollination_success,"{""flower_id"":200001,""x"":7.884,""y"":0.577,""cumulative_total"":1}"
1780028529.312,5,0,pollination_success,"{""flower_id"":200002,""x"":8.377,""y"":1.597,""cumulative_total"":2}"
1780028549.863,5,0,pollination_success,"{""flower_id"":200028,""x"":10.365,""y"":1.683,""cumulative_total"":3}"
1780028576.312,5,0,pollination_success,"{""flower_id"":200005,""x"":9.815,""y"":4.539,""cumulative_total"":4}"
1780028598.813,5,0,pollination_success,"{""flower_id"":200032,""x"":12.579,""y"":5.744,""cumulative_total"":5}"
1780028624.363,5,0,pollination_success,"{""flower_id"":200033,""x"":12.97,""y"":6.563,""cumulative_total"":6}"
