ts,day,drone_id,type,payload_json
1780721370.938,1,,mission_start,"{""n_drones"":2,""start_day"":1,""day_max"":8}"
1780721375.23,1,0,drone_at_base,{}
1780721375.645,1,1,drone_at_base,{}
1780721377.433,1,,day_start,"{""day"":1,""known_landmarks"":0,""known_open"":0,""known_closed"":0,""already_pollinated"":0}"
1780721377.433,1,,survey_start,"{""day"":1}"
1780721456.08,1,0,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780721456.595,1,1,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780721459.433,1,,merge_complete,"{""new_open"":0,""new_closed"":0,""newly_opened"":0,""landmarks_total"":0}"
1780721459.433,1,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":1}"
1780721459.646,1,1,drone_at_base,{}
1780721459.736,1,0,drone_at_base,{}
1780721464.932,1,,day_complete,"{""day"":1,""pollinated_today"":0}"
1780721468.933,2,,day_start,"{""day"":2,""known_landmarks"":0,""known_open"":0,""known_closed"":0,""already_pollinated"":0}"
1780721468.933,2,,survey_start,"{""day"":2}"
1780721544.731,2,0,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780721545.095,2,1,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780721547.434,2,,merge_complete,"{""new_open"":0,""new_closed"":0,""newly_opened"":0,""landmarks_total"":0}"
1780721547.434,2,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":2}"
1780721547.649,2,1,drone_at_base,{}
1780721547.732,2,0,drone_at_base,{}
1780721552.932,2,,day_complete,"{""day"":2,""pollinated_today"":0}"
1780721556.932,3,,day_start,"{""day"":3,""known_landmarks"":0,""known_open"":0,""known_closed"":0,""already_pollinated"":0}"
1780721556.932,3,,survey_start,"{""day"":3}"
1780721634.23,3,0,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780721634.395,3,1,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780721636.933,3,,merge_complete,"{""new_open"":0,""new_closed"":0,""newly_opened"":0,""landmarks_total"":0}"
1780721636.933,3,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":3}"
1780721637.145,3,1,drone_at_base,{}
1780721637.232,3,0,drone_at_base,{}
1780721642.432,3,,day_complete,"{""day"":3,""pollinated_today"":0}"
1780721646.434,4,,day_start,"{""day"":4,""known_landmarks"":0,""known_open"":0,""known_closed"":0,""already_pollinated"":0}"
1780721646.435,4,,survey_start,"{""day"":4}"
