run_id,day,drone_id,landmark_id,x,y,pollinated_at
stage16_20260606_173605,1,1,5057,11.241,6.633,2026-06-06 17:38:56
stage16_20260606_173605,1,0,5053,13.238,6.528,2026-06-06 17:38:57
stage16_20260606_173605,1,0,5054,14.243,10.698,2026-06-06 17:39:11
stage16_20260606_173605,1,1,5052,13.426,10.689,2026-06-06 17:39:12
stage16_20260606_173605,1,1,5005,8.897,13.272,2026-06-06 17:39:28
stage16_20260606_173605,1,0,5056,18.979,2.573,2026-06-06 17:39:30
stage16_20260606_173605,1,1,5003,4.851,19.242,2026-06-06 17:39:46
stage16_20260606_173605,1,0,5000,2.31,9.756,2026-06-06 17:39:56
stage16_20260606_173605,1,1,5002,1.53,8.833,2026-06-06 17:40:07
stage16_20260606_173605,1,0,5004,0.649,15.048,2026-06-06 17:40:09
stage16_20260606_173605,1,0,5001,8.834,19.012,2026-06-06 17:40:27
stage16_20260606_173605,1,1,5055,18.907,15.807,2026-06-06 17:40:32
stage16_20260606_173605,2,1,5086,12.752,3.192,2026-06-06 17:43:42
stage16_20260606_173605,2,0,5008,8.502,4.556,2026-06-06 17:43:47
stage16_20260606_173605,2,1,5085,10.674,5.296,2026-06-06 17:43:55
stage16_20260606_173605,2,0,5041,3.606,3.647,2026-06-06 17:44:01
stage16_20260606_173605,2,1,5036,9.959,6.764,2026-06-06 17:44:07
stage16_20260606_173605,2,0,5031,4.437,10.688,2026-06-06 17:44:15
stage16_20260606_173605,2,1,5034,4.729,6.796,2026-06-06 17:44:21
stage16_20260606_173605,2,0,5038,1.55,10.618,2026-06-06 17:44:28
stage16_20260606_173605,2,1,5021,4.358,13.082,2026-06-06 17:44:38
stage16_20260606_173605,2,0,5014,6.97,13.79,2026-06-06 17:45:08
stage16_20260606_173605,2,0,5045,5.779,16.546,2026-06-06 17:45:20
stage16_20260606_173605,2,1,5039,6.008,13.079,2026-06-06 17:45:20
stage16_20260606_173605,2,1,5025,2.357,12.962,2026-06-06 17:45:35
stage16_20260606_173605,2,0,5089,12.109,14.643,2026-06-06 17:45:35
stage16_20260606_173605,2,0,5081,13.132,18.306,2026-06-06 17:45:52
stage16_20260606_173605,2,1,5026,7.524,19.029,2026-06-06 17:45:52
stage16_20260606_173605,2,0,5094,16.323,13.808,2026-06-06 17:46:09
stage16_20260606_173605,2,1,5063,15.714,16.794,2026-06-06 17:46:11
stage16_20260606_173605,3,1,5073,11.202,2.824,2026-06-06 17:49:39
stage16_20260606_173605,3,0,5059,11.806,1.311,2026-06-06 17:49:40
stage16_20260606_173605,3,1,5080,14.84,3.689,2026-06-06 17:49:55
stage16_20260606_173605,3,0,5049,7.681,3.743,2026-06-06 17:49:58
stage16_20260606_173605,3,1,5043,9.764,7.962,2026-06-06 17:50:11
stage16_20260606_173605,3,0,5018,4.282,4.763,2026-06-06 17:50:14
stage16_20260606_173605,3,1,5015,8.832,9.169,2026-06-06 17:50:24
stage16_20260606_173605,3,0,5048,1.218,5.28,2026-06-06 17:50:31
stage16_20260606_173605,3,1,5022,6.284,7.443,2026-06-06 17:50:38
stage16_20260606_173605,3,0,5033,5.333,11.149,2026-06-06 17:50:46
stage16_20260606_173605,3,1,5010,5.147,9.508,2026-06-06 17:50:49
stage16_20260606_173605,3,0,5035,5.825,11.962,2026-06-06 17:50:56
stage16_20260606_173605,3,1,5030,2.691,7.762,2026-06-06 17:51:01
stage16_20260606_173605,3,0,5013,8.889,10.344,2026-06-06 17:51:09
stage16_20260606_173605,3,1,5047,5.763,4.656,2026-06-06 17:51:15
stage16_20260606_173605,3,0,5037,9.882,14.801,2026-06-06 17:51:22
stage16_20260606_173605,3,1,5032,5.883,2.148,2026-06-06 17:51:27
stage16_20260606_173605,3,0,5061,11.544,18.973,2026-06-06 17:51:36
stage16_20260606_173605,3,1,5076,11.584,13.826,2026-06-06 17:51:47
stage16_20260606_173605,3,0,5087,15.448,15.761,2026-06-06 17:51:47
stage16_20260606_173605,3,1,5060,11.517,17.963,2026-06-06 17:51:59
stage16_20260606_173605,3,0,5064,17.849,12.315,2026-06-06 17:51:59
stage16_20260606_173605,3,1,5074,17.525,15.511,2026-06-06 17:52:14
stage16_20260606_173605,3,0,5070,17.035,2.091,2026-06-06 17:52:19
stage16_20260606_173605,3,1,5066,17.988,14.765,2026-06-06 17:52:24
stage16_20260606_173605,3,1,5082,16.298,11.517,2026-06-06 17:52:36
stage16_20260606_173605,3,0,5006,6.229,18.314,2026-06-06 17:52:45
stage16_20260606_173605,4,0,5016,0.952,2.431,2026-06-06 17:56:23
stage16_20260606_173605,4,1,5068,11.753,4.994,2026-06-06 17:56:24
stage16_20260606_173605,4,1,5051,7.688,4.745,2026-06-06 17:56:43
stage16_20260606_173605,4,0,5040,5.723,15.272,2026-06-06 17:56:47
stage16_20260606_173605,4,0,5009,4.926,15.915,2026-06-06 17:57:00
stage16_20260606_173605,4,1,5095,3.418,5.009,2026-06-06 17:57:00
stage16_20260606_173605,4,0,5027,8.372,16.216,2026-06-06 17:57:14
stage16_20260606_173605,4,1,5091,10.716,10.166,2026-06-06 17:57:21
stage16_20260606_173605,4,0,5023,9.653,18.212,2026-06-06 17:57:25
stage16_20260606_173605,4,1,5019,8.806,14.338,2026-06-06 17:57:34
stage16_20260606_173605,4,0,5075,11.208,17.01,2026-06-06 17:57:38
stage16_20260606_173605,4,1,5050,9.662,16.823,2026-06-06 17:57:48
stage16_20260606_173605,4,0,5093,16.592,15.975,2026-06-06 17:57:51
stage16_20260606_173605,4,1,5012,5.447,17.611,2026-06-06 17:58:03
stage16_20260606_173605,4,0,5092,18.462,13.595,2026-06-06 17:58:04
stage16_20260606_173605,4,0,5071,16.309,9.431,2026-06-06 17:58:17
stage16_20260606_173605,4,1,5090,16.419,15.119,2026-06-06 17:58:22
stage16_20260606_173605,4,0,5078,18.151,2.693,2026-06-06 17:58:35
stage16_20260606_173605,4,1,5069,17.136,11.044,2026-06-06 17:58:36
stage16_20260606_173605,4,1,5083,19.027,10.707,2026-06-06 17:58:48
stage16_20260606_173605,4,1,5065,18.325,4.425,2026-06-06 17:59:04
stage16_20260606_173605,5,1,5077,10.23,2.721,2026-06-06 18:01:50
stage16_20260606_173605,5,0,5017,1.843,11.553,2026-06-06 18:01:57
stage16_20260606_173605,5,1,5067,12.986,8.03,2026-06-06 18:02:05
stage16_20260606_173605,5,0,5084,12.835,15.227,2026-06-06 18:02:18
stage16_20260606_173605,5,1,5058,17.997,18.963,2026-06-06 18:02:26
stage16_20260606_173605,5,0,5072,14.079,13.774,2026-06-06 18:02:30
stage16_20260606_173605,5,1,5029,2.036,1.286,2026-06-06 18:02:51
stage16_20260606_173605,6,1,5028,4.7,3.176,2026-06-06 18:05:48
stage16_20260606_173605,6,0,5024,1.204,4.302,2026-06-06 18:05:51
stage16_20260606_173605,6,1,5088,16.674,16.809,2026-06-06 18:06:08
stage16_20260606_173605,6,0,5007,6.657,14.704,2026-06-06 18:06:11
stage16_20260606_173605,7,0,5046,8.577,12.427,2026-06-06 18:09:12
stage16_20260606_173605,7,1,5062,11.91,9.431,2026-06-06 18:09:15
stage16_20260606_173605,7,0,5011,2.906,14.504,2026-06-06 18:09:31
stage16_20260606_173605,7,1,5020,4.234,11.799,2026-06-06 18:09:35
