run_id,day,drone_id,flower_id,x,y,pollinated_at
stage16_20260602_184159,5,0,100043,7.119,1.518,2026-06-02 18:55:57
stage16_20260602_184159,5,0,100048,8.973,3.017,2026-06-02 18:56:19
stage16_20260602_184159,5,0,100050,10.831,2.267,2026-06-02 18:56:46
stage16_20260602_184159,5,1,100045,7.774,0.974,2026-06-02 18:56:46
stage16_20260602_184159,5,1,100042,8.428,1.775,2026-06-02 18:57:08
stage16_20260602_184159,5,1,100041,7.611,2.146,2026-06-02 18:57:26
stage16_20260602_184159,5,1,100029,6.279,2.744,2026-06-02 18:57:52
stage16_20260602_184159,5,1,100021,4.332,3.601,2026-06-02 18:59:04
stage16_20260602_184159,5,0,100074,12.162,4.456,2026-06-02 18:59:23
stage16_20260602_184159,5,1,100020,3.269,3.637,2026-06-02 18:59:28
stage16_20260602_184159,5,1,100025,3.671,2.554,2026-06-02 18:59:43
stage16_20260602_184159,5,0,100051,9.833,4.794,2026-06-02 18:59:49
stage16_20260602_184159,5,0,100052,9.303,5.752,2026-06-02 19:00:09
stage16_20260602_184159,5,0,100039,8.216,6.511,2026-06-02 19:00:31
stage16_20260602_184159,5,1,100022,2.815,2.753,2026-06-02 19:00:42
stage16_20260602_184159,5,0,100053,10.251,6.99,2026-06-02 19:00:47
stage16_20260602_184159,5,0,100072,11.399,6.432,2026-06-02 19:01:00
stage16_20260602_184159,5,1,100083,1.145,1.973,2026-06-02 19:01:04
stage16_20260602_184159,5,1,100004,1.307,3.822,2026-06-02 19:01:23
stage16_20260602_184159,5,1,100006,0.745,5.53,2026-06-02 19:01:39
stage16_20260602_184159,5,1,100007,2.218,6.624,2026-06-02 19:01:57
stage16_20260602_184159,5,1,100015,3.757,8.705,2026-06-02 19:02:16
stage16_20260602_184159,5,0,100073,12.677,5.756,2026-06-02 19:02:20
stage16_20260602_184159,5,0,100071,12.931,6.864,2026-06-02 19:02:45
stage16_20260602_184159,5,0,100070,12.289,7.555,2026-06-02 19:03:11
stage16_20260602_184159,5,1,100010,3.054,13.629,2026-06-02 19:04:12
stage16_20260602_184159,5,0,100081,13.449,14.052,2026-06-02 19:05:09
stage16_20260602_184159,5,1,100012,3.063,11.498,2026-06-02 19:05:20
stage16_20260602_184159,5,0,100066,11.334,11.657,2026-06-02 19:05:25
stage16_20260602_184159,5,1,100032,4.549,10.236,2026-06-02 19:05:36
stage16_20260602_184159,5,0,100060,9.674,13.542,2026-06-02 19:05:39
stage16_20260602_184159,5,1,100033,5.306,12.446,2026-06-02 19:05:50
stage16_20260602_184159,5,0,100061,8.643,14.088,2026-06-02 19:05:56
stage16_20260602_184159,5,0,100036,8.19,12.915,2026-06-02 19:06:14
stage16_20260602_184159,5,0,100056,8.809,9.88,2026-06-02 19:06:37
stage16_20260602_184159,5,0,100038,7.991,9.689,2026-06-02 19:06:51
stage16_20260602_184159,5,1,100063,11.307,13.926,2026-06-02 19:06:58
stage16_20260602_184159,5,0,100034,5.635,14.24,2026-06-02 19:07:14
stage16_20260602_184159,5,0,100009,2.245,12.962,2026-06-02 19:08:23
stage16_20260602_184159,5,1,100080,13.903,12.419,2026-06-02 19:08:29
stage16_20260602_184159,5,1,100067,12.194,11.224,2026-06-02 19:08:48
stage16_20260602_184159,5,0,100008,2.191,10.807,2026-06-02 19:08:50
stage16_20260602_184159,5,0,100014,3.327,9.771,2026-06-02 19:09:05
stage16_20260602_184159,5,1,100079,13.354,10.975,2026-06-02 19:09:06
stage16_20260602_184159,5,1,100078,13.243,9.135,2026-06-02 19:10:11
stage16_20260602_184159,5,0,100031,6.215,7.249,2026-06-02 19:10:23
stage16_20260602_184159,5,1,100069,12.323,8.88,2026-06-02 19:10:24
stage16_20260602_184159,5,1,100068,11.367,8.948,2026-06-02 19:10:44
stage16_20260602_184159,5,0,100040,7.339,4.412,2026-06-02 19:10:45
stage16_20260602_184159,5,0,100028,6.433,4.5,2026-06-02 19:11:10
stage16_20260602_184159,5,1,100057,9.821,10.689,2026-06-02 19:11:11
stage16_20260602_184159,5,1,100059,8.967,11.06,2026-06-02 19:11:25
stage16_20260602_184159,5,0,100027,5.046,4.32,2026-06-02 19:11:28
stage16_20260602_184159,5,0,100019,4.396,5.043,2026-06-02 19:11:49
stage16_20260602_184159,5,1,100037,8.197,11.974,2026-06-02 19:12:30
stage16_20260602_184159,5,0,200013,3.507,6.428,2026-06-02 19:12:48
stage16_20260602_184159,5,1,100054,9.576,8.061,2026-06-02 19:12:55
stage16_20260602_184159,5,0,100016,3.055,7.665,2026-06-02 19:13:00
stage16_20260602_184159,5,1,100055,8.648,7.87,2026-06-02 19:13:09
stage16_20260602_184159,5,1,100030,6.585,5.631,2026-06-02 19:13:32
stage16_20260602_184159,5,1,100049,9.857,3.761,2026-06-02 19:13:56
stage16_20260602_184159,5,1,100047,10.311,1.546,2026-06-02 19:14:16
stage16_20260602_184159,5,1,100076,13.501,1.89,2026-06-02 19:14:38
stage16_20260602_184159,5,1,100075,12.92,3.629,2026-06-02 19:14:53
stage16_20260602_184159,5,1,100077,13.854,4.514,2026-06-02 19:15:19
stage16_20260602_184159,5,0,100005,1.018,2.656,2026-06-02 19:16:22
stage16_20260602_184159,5,0,100024,4.147,1.851,2026-06-02 19:17:26
stage16_20260602_184159,6,1,100043,7.119,1.518,2026-06-02 19:31:59
stage16_20260602_184159,6,1,100041,7.605,2.139,2026-06-02 19:32:16
stage16_20260602_184159,6,1,100050,10.866,2.247,2026-06-02 19:32:43
stage16_20260602_184159,6,0,100045,7.85,0.782,2026-06-02 19:32:46
stage16_20260602_184159,6,0,100042,8.41,1.782,2026-06-02 19:33:07
stage16_20260602_184159,6,0,100047,10.315,1.565,2026-06-02 19:33:27
stage16_20260602_184159,6,0,100049,9.855,3.779,2026-06-02 19:33:50
stage16_20260602_184159,6,0,100052,9.303,5.752,2026-06-02 19:34:10
stage16_20260602_184159,6,0,100055,8.651,7.866,2026-06-02 19:34:25
stage16_20260602_184159,6,0,100054,9.565,8.062,2026-06-02 19:34:45
stage16_20260602_184159,6,0,100068,11.375,8.947,2026-06-02 19:35:09
stage16_20260602_184159,6,0,100069,12.303,8.888,2026-06-02 19:35:22
stage16_20260602_184159,6,1,100075,12.922,3.613,2026-06-02 19:35:31
stage16_20260602_184159,6,0,100071,12.912,6.845,2026-06-02 19:35:47
stage16_20260602_184159,6,1,100074,12.153,4.465,2026-06-02 19:35:48
stage16_20260602_184159,6,0,100076,13.501,1.89,2026-06-02 19:36:11
stage16_20260602_184159,6,1,100073,12.67,5.742,2026-06-02 19:36:51
stage16_20260602_184159,6,0,100077,13.83,4.514,2026-06-02 19:37:22
stage16_20260602_184159,6,1,100081,13.449,14.052,2026-06-02 19:38:50
stage16_20260602_184159,6,1,100078,13.239,9.147,2026-06-02 19:39:12
stage16_20260602_184159,6,0,100079,13.344,10.979,2026-06-02 19:39:14
stage16_20260602_184159,6,1,100070,12.296,7.547,2026-06-02 19:39:37
stage16_20260602_184159,6,1,100072,11.405,6.425,2026-06-02 19:39:52
stage16_20260602_184159,6,0,100067,12.182,11.236,2026-06-02 19:39:54
stage16_20260602_184159,6,1,100053,10.213,7.005,2026-06-02 19:40:05
stage16_20260602_184159,6,0,100080,13.901,12.419,2026-06-02 19:40:13
stage16_20260602_184159,6,1,100039,8.222,6.516,2026-06-02 19:40:27
stage16_20260602_184159,6,1,100051,9.834,4.776,2026-06-02 19:40:53
stage16_20260602_184159,6,1,100048,8.979,3.019,2026-06-02 19:41:16
stage16_20260602_184159,6,1,100044,7.232,4.408,2026-06-02 19:41:39
stage16_20260602_184159,6,0,100063,11.307,13.926,2026-06-02 19:42:03
stage16_20260602_184159,6,1,100031,6.183,7.24,2026-06-02 19:42:13
stage16_20260602_184159,6,1,100038,7.969,9.683,2026-06-02 19:42:28
stage16_20260602_184159,6,0,100057,9.82,10.694,2026-06-02 19:42:31
stage16_20260602_184159,6,0,100059,8.972,11.13,2026-06-02 19:42:46
stage16_20260602_184159,6,1,100056,8.781,9.882,2026-06-02 19:42:48
stage16_20260602_184159,6,1,100066,11.337,11.663,2026-06-02 19:43:04
stage16_20260602_184159,6,0,100037,8.197,11.979,2026-06-02 19:43:06
stage16_20260602_184159,6,1,100062,9.311,11.977,2026-06-02 19:43:26
stage16_20260602_184159,6,1,100064,9.646,13.525,2026-06-02 19:43:40
stage16_20260602_184159,6,1,100061,8.648,14.087,2026-06-02 19:43:57
stage16_20260602_184159,6,0,100033,5.307,12.437,2026-06-02 19:44:09
stage16_20260602_184159,6,1,100036,8.173,12.914,2026-06-02 19:44:15
stage16_20260602_184159,6,1,100034,5.644,14.25,2026-06-02 19:44:38
stage16_20260602_184159,6,0,100009,2.27,12.952,2026-06-02 19:45:18
stage16_20260602_184159,6,1,100084,2.769,13.685,2026-06-02 19:45:50
stage16_20260602_184159,6,0,100012,2.987,11.583,2026-06-02 19:46:26
stage16_20260602_184159,6,0,100008,2.221,10.814,2026-06-02 19:46:52
stage16_20260602_184159,6,0,100088,3.32,9.787,2026-06-02 19:47:08
stage16_20260602_184159,6,0,100032,4.546,10.234,2026-06-02 19:47:23
stage16_20260602_184159,6,0,100086,3.47,6.418,2026-06-02 19:47:38
stage16_20260602_184159,6,0,100004,1.3,3.818,2026-06-02 19:49:43
stage16_20260602_184159,6,1,100007,2.233,6.626,2026-06-02 19:49:58
stage16_20260602_184159,6,0,100003,0.811,2.908,2026-06-02 19:50:02
stage16_20260602_184159,6,0,100083,0.869,1.963,2026-06-02 19:50:24
stage16_20260602_184159,6,1,100006,0.72,5.692,2026-06-02 19:50:32
stage16_20260602_184159,6,0,100022,2.817,2.758,2026-06-02 19:50:40
stage16_20260602_184159,6,1,100015,3.484,8.928,2026-06-02 19:50:54
stage16_20260602_184159,6,0,100020,3.371,3.394,2026-06-02 19:51:05
stage16_20260602_184159,6,1,100016,3.026,7.713,2026-06-02 19:51:08
stage16_20260602_184159,6,0,100025,3.66,2.512,2026-06-02 19:51:19
stage16_20260602_184159,6,0,100021,4.328,3.603,2026-06-02 19:51:33
stage16_20260602_184159,6,1,100019,4.398,5.041,2026-06-02 19:52:14
stage16_20260602_184159,6,1,100027,5.046,4.32,2026-06-02 19:52:30
stage16_20260602_184159,6,0,100029,6.268,2.733,2026-06-02 19:52:42
stage16_20260602_184159,6,1,100028,6.456,4.482,2026-06-02 19:52:55
stage16_20260602_184159,6,0,100030,6.587,5.633,2026-06-02 19:53:07
stage16_20260602_184159,6,1,100024,4.153,1.841,2026-06-02 19:53:16
