ts,day,drone_id,type,payload_json
1780722028.485,1,,mission_start,"{""n_drones"":2,""start_day"":1,""day_max"":8}"
1780722032.911,1,0,drone_at_base,{}
1780722033.382,1,1,drone_at_base,{}
1780722034.98,1,,day_start,"{""day"":1,""known_landmarks"":0,""known_open"":0,""known_closed"":0,""already_pollinated"":0}"
1780722034.98,1,,survey_start,"{""day"":1}"
1780722113.912,1,0,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780722114.781,1,1,survey_done,"{""n_open_confirmed"":0,""n_buds"":0}"
1780722116.98,1,,merge_complete,"{""new_open"":0,""new_closed"":0,""newly_opened"":0,""landmarks_total"":0}"
1780722116.98,1,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":1}"
1780722117.381,1,1,drone_at_base,{}
1780722117.411,1,0,drone_at_base,{}
1780722122.479,1,,day_complete,"{""day"":1,""pollinated_today"":0}"
1780722126.48,2,,day_start,"{""day"":2,""known_landmarks"":0,""known_open"":0,""known_closed"":0,""already_pollinated"":0}"
1780722126.48,2,,survey_start,"{""day"":2}"
