run_id,day,drone_id,flower_id,x,y,pollinated_at
stage16_20260528_012421,5,0,100001,6.9,-1.0,2026-05-28 01:25:51
stage16_20260528_012421,5,1,200003,8.381,-0.573,2026-05-28 01:25:51
stage16_20260528_012421,5,1,200004,8.636,-0.183,2026-05-28 01:26:05
stage16_20260528_012421,5,0,200001,8.1,-1.0,2026-05-28 01:26:06
stage16_20260528_012421,5,1,200140,8.105,0.135,2026-05-28 01:26:19
stage16_20260528_012421,5,0,200006,8.889,0.273,2026-05-28 01:26:22
stage16_20260528_012421,5,1,100148,6.902,0.297,2026-05-28 01:26:33
stage16_20260528_012421,5,0,200008,8.987,1.393,2026-05-28 01:26:36
stage16_20260528_012421,5,1,100091,6.831,1.274,2026-05-28 01:26:47
stage16_20260528_012421,5,0,200005,8.377,1.616,2026-05-28 01:26:49
stage16_20260528_012421,5,1,100088,5.652,1.073,2026-05-28 01:27:02
stage16_20260528_012421,5,0,100090,5.731,1.633,2026-05-28 01:27:05
stage16_20260528_012421,5,1,100086,5.037,0.644,2026-05-28 01:27:16
stage16_20260528_012421,5,0,100087,5.501,0.569,2026-05-28 01:27:20
stage16_20260528_012421,5,1,100085,4.576,0.718,2026-05-28 01:27:31
stage16_20260528_012421,5,0,100147,6.902,0.784,2026-05-28 01:27:37
stage16_20260528_012421,5,1,100078,3.59,2.594,2026-05-28 01:27:48
stage16_20260528_012421,5,0,100149,6.902,-0.168,2026-05-28 01:27:53
stage16_20260528_012421,5,1,100081,4.153,2.008,2026-05-28 01:28:03
stage16_20260528_012421,5,0,100002,6.51,-0.675,2026-05-28 01:28:08
stage16_20260528_012421,5,1,100082,3.752,1.619,2026-05-28 01:28:18
stage16_20260528_012421,5,0,100003,6.03,-0.371,2026-05-28 01:28:22
stage16_20260528_012421,5,1,100084,4.08,0.8,2026-05-28 01:28:34
stage16_20260528_012421,5,0,100004,5.59,-0.162,2026-05-28 01:28:37
stage16_20260528_012421,5,1,100008,3.63,0.307,2026-05-28 01:28:48
stage16_20260528_012421,5,0,100005,5.15,-0.002,2026-05-28 01:28:51
stage16_20260528_012421,5,1,100010,2.664,0.402,2026-05-28 01:29:04
stage16_20260528_012421,5,0,100006,4.59,0.147,2026-05-28 01:29:06
stage16_20260528_012421,5,1,100012,2.196,0.446,2026-05-28 01:29:18
stage16_20260528_012421,5,0,100007,4.11,0.239,2026-05-28 01:29:20
stage16_20260528_012421,5,1,100014,1.811,1.26,2026-05-28 01:29:34
stage16_20260528_012421,5,0,100009,3.151,0.357,2026-05-28 01:29:36
stage16_20260528_012421,5,1,100011,1.358,1.792,2026-05-28 01:29:49
stage16_20260528_012421,5,0,100013,1.889,0.78,2026-05-28 01:29:51
stage16_20260528_012421,5,1,100019,1.683,2.62,2026-05-28 01:30:03
stage16_20260528_012421,5,0,100083,3.752,1.146,2026-05-28 01:30:07
stage16_20260528_012421,5,1,100016,0.909,2.648,2026-05-28 01:30:18
stage16_20260528_012421,5,0,100015,2.747,2.616,2026-05-28 01:30:23
stage16_20260528_012421,5,1,100022,1.621,4.26,2026-05-28 01:30:31
stage16_20260528_012421,5,0,100017,1.716,2.14,2026-05-28 01:30:36
stage16_20260528_012421,5,1,100024,1.605,5.22,2026-05-28 01:30:46
stage16_20260528_012421,5,0,100020,1.657,3.139,2026-05-28 01:30:51
stage16_20260528_012421,5,1,100027,1.596,6.26,2026-05-28 01:31:01
stage16_20260528_012421,5,0,100018,1.283,3.648,2026-05-28 01:31:05
stage16_20260528_012421,5,1,100029,1.591,7.339,2026-05-28 01:31:14
stage16_20260528_012421,5,0,100023,1.612,4.74,2026-05-28 01:31:19
stage16_20260528_012421,5,1,100066,3.006,7.873,2026-05-28 01:31:30
stage16_20260528_012421,5,0,100026,1.6,5.74,2026-05-28 01:31:34
stage16_20260528_012421,5,1,100032,1.588,8.9,2026-05-28 01:31:46
stage16_20260528_012421,5,0,100021,0.703,5.585,2026-05-28 01:31:49
stage16_20260528_012421,5,1,100034,1.587,9.38,2026-05-28 01:31:59
stage16_20260528_012421,5,0,100028,1.593,6.82,2026-05-28 01:32:05
stage16_20260528_012421,5,1,100038,1.587,10.94,2026-05-28 01:32:15
