run_id,day,drone_id,flower_id,x,y,pollinated_at
stage16_20260528_011723,5,0,100001,6.9,-1.0,2026-05-28 01:18:55
stage16_20260528_011723,5,1,200004,8.616,-0.214,2026-05-28 01:18:55
stage16_20260528_011723,5,1,200005,8.863,0.163,2026-05-28 01:19:10
stage16_20260528_011723,5,0,100004,5.678,-0.2,2026-05-28 01:19:12
stage16_20260528_011723,5,1,200142,8.105,0.15,2026-05-28 01:19:26
stage16_20260528_011723,5,0,100002,6.518,-0.681,2026-05-28 01:19:28
stage16_20260528_011723,5,1,100148,6.902,0.283,2026-05-28 01:19:42
stage16_20260528_011723,5,0,100149,6.902,-0.178,2026-05-28 01:19:44
stage16_20260528_011723,5,1,100003,6.118,-0.42,2026-05-28 01:19:59
stage16_20260528_011723,5,0,200001,8.1,-1.0,2026-05-28 01:20:01
