ts,day,drone_id,type,payload_json
1780638996.607,1,,mission_start,"{""n_drones"":2,""start_day"":1,""day_max"":8,""n_flowers"":70}"
1780638998.421,1,0,drone_at_base,{}
1780638998.517,1,1,drone_at_base,{}
1780639003.103,1,,day_start,"{""day"":1,""counts"":{""not_ready"":67,""opening"":3,""prime"":0,""partial"":0,""spent"":0},""n_targets"":0,""already_pollinated"":0}"
1780639003.103,1,,survey_start,"{""day"":1,""n_targets"":0}"
1780639068.272,1,0,survey_done,"{""n_observed"":0}"
1780639069.117,1,1,survey_done,"{""n_observed"":0}"
1780639071.602,1,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":1}"
1780639071.921,1,0,drone_at_base,{}
1780639072.017,1,1,drone_at_base,{}
1780639077.101,1,,day_complete,"{""day"":1,""pollinated_today"":0}"
1780639081.104,2,,day_start,"{""day"":2,""counts"":{""not_ready"":58,""opening"":12,""prime"":0,""partial"":0,""spent"":0},""n_targets"":0,""already_pollinated"":0}"
1780639081.104,2,,survey_start,"{""day"":2,""n_targets"":0}"
1780639145.122,2,0,survey_done,"{""n_observed"":0}"
1780639146.016,2,1,survey_done,"{""n_observed"":0}"
1780639148.102,2,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":2}"
1780639148.422,2,0,drone_at_base,{}
1780639148.517,2,1,drone_at_base,{}
1780639153.601,2,,day_complete,"{""day"":2,""pollinated_today"":0}"
1780639157.602,3,,day_start,"{""day"":3,""counts"":{""not_ready"":47,""opening"":20,""prime"":3,""partial"":0,""spent"":0},""n_targets"":3,""already_pollinated"":0}"
1780639157.602,3,,survey_start,"{""day"":3,""n_targets"":3}"
1780639223.823,3,0,survey_done,"{""n_observed"":3}"
1780639224.667,3,1,survey_done,"{""n_observed"":3}"
1780639227.103,3,,routes_assigned,"{""route_counts"":{""0"":1,""1"":2},""day"":3}"
1780639243.467,3,1,pollination_success,"{""flower_id"":55,""x"":10.164,""y"":7.018,""cumulative_total"":1}"
