ts,day,drone_id,type,payload_json
1780635776.893,1,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":1,""day_max"":8}"
1780635778.148,1,0,drone_at_base,{}
1780635778.52,1,1,drone_at_base,{}
1780635783.386,1,,day_start,"{""day"":1,""counts"":{""not_ready"":67,""opening"":3,""prime_target"":0,""partial_target"":0,""spent"":0},""n_targets"":0}"
1780635783.386,1,,survey_start,"{""day"":1}"
1780635896.22,1,1,survey_done,"{""n_observed"":0}"
1780635896.8,1,0,survey_done,"{""n_observed"":0}"
1780635899.387,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780635899.389,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780635899.392,1,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780635899.392,1,,merge_complete,"{""unique_targets"":0}"
1780635899.392,1,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":1}"
1780635899.65,1,0,drone_at_base,{}
1780635900.02,1,1,drone_at_base,{}
1780635904.884,1,,day_complete,"{""day"":1,""pollinated_today"":0}"
1780635908.885,2,,day_start,"{""day"":2,""counts"":{""not_ready"":58,""opening"":12,""prime_target"":0,""partial_target"":0,""spent"":0},""n_targets"":0}"
1780635908.885,2,,survey_start,"{""day"":2}"
1780636019.62,2,1,survey_done,"{""n_observed"":0}"
1780636020.449,2,0,survey_done,"{""n_observed"":0}"
1780636023.385,2,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780636023.386,2,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780636023.388,2,,landmark_map,"{""known"":0,""new_today"":0,""pollinated"":0,""routed"":0}"
1780636023.388,2,,merge_complete,"{""unique_targets"":0}"
1780636023.388,2,,routes_assigned,"{""route_counts"":{""0"":0,""1"":0},""day"":2}"
1780636023.649,2,0,drone_at_base,{}
1780636024.022,2,1,drone_at_base,{}
1780636028.884,2,,day_complete,"{""day"":2,""pollinated_today"":0}"
1780636032.885,3,,day_start,"{""day"":3,""counts"":{""not_ready"":47,""opening"":20,""prime_target"":3,""partial_target"":0,""spent"":0},""n_targets"":3}"
1780636032.885,3,,survey_start,"{""day"":3}"
1780636144.12,3,1,survey_done,"{""n_observed"":3}"
1780636144.349,3,0,survey_done,"{""n_observed"":3}"
