timestamp,drone_id,event_type,flower_x,flower_y,cycle_time_s,total_pollinated,details
2026-04-20T16:34:15.035559,ALL,SUMMARY,0,0,750.0020921230316,9,coverage=100.0%
2026-04-20T16:34:45.034833,ALL,SUMMARY,0,0,780.0020582675934,9,coverage=100.0%
2026-04-20T16:35:15.035962,ALL,SUMMARY,0,0,810.0020442008972,9,coverage=100.0%
2026-04-20T16:35:45.040392,ALL,SUMMARY,0,0,840.0022830963135,9,coverage=100.0%
2026-04-20T16:36:15.039517,ALL,SUMMARY,0,0,870.0021760463715,9,coverage=100.0%
2026-04-20T16:36:45.039061,ALL,SUMMARY,0,0,900.0022084712982,9,coverage=100.0%
2026-04-20T16:37:15.034197,ALL,SUMMARY,0,0,930.0020291805267,9,coverage=100.0%
2026-04-20T16:37:45.034939,ALL,SUMMARY,0,0,960.0020530223846,9,coverage=100.0%
2026-04-20T16:38:15.034014,ALL,SUMMARY,0,0,990.0020236968994,9,coverage=100.0%
2026-04-20T16:38:45.037808,ALL,SUMMARY,0,0,1020.0021815299988,9,coverage=100.0%
2026-04-20T16:39:15.035697,ALL,SUMMARY,0,0,1050.0020718574524,9,coverage=100.0%
2026-04-20T16:39:45.035552,ALL,SUMMARY,0,0,1080.0020925998688,9,coverage=100.0%
2026-04-20T16:40:15.041096,ALL,SUMMARY,0,0,1110.0030300617218,9,coverage=100.0%
2026-04-20T16:40:45.040338,ALL,SUMMARY,0,0,1140.0022902488708,9,coverage=100.0%
2026-04-20T16:41:15.041037,ALL,SUMMARY,0,0,1170.0022559165955,9,coverage=100.0%
2026-04-20T16:41:45.039372,ALL,SUMMARY,0,0,1200.0022675991058,9,coverage=100.0%
2026-04-20T16:42:15.034730,ALL,SUMMARY,0,0,1230.0020546913147,9,coverage=100.0%
2026-04-20T16:42:45.037451,ALL,SUMMARY,0,0,1260.002098083496,9,coverage=100.0%
2026-04-20T16:43:15.035579,ALL,SUMMARY,0,0,1290.0021443367004,9,coverage=100.0%
2026-04-20T16:43:45.037072,ALL,SUMMARY,0,0,1320.0021393299103,9,coverage=100.0%
2026-04-20T16:44:15.035158,ALL,SUMMARY,0,0,1350.0020670890808,9,coverage=100.0%
2026-04-20T16:44:45.036169,ALL,SUMMARY,0,0,1380.0021431446075,9,coverage=100.0%
2026-04-20T16:45:15.036098,ALL,SUMMARY,0,0,1410.0021543502808,9,coverage=100.0%
2026-04-20T16:45:45.035759,ALL,SUMMARY,0,0,1440.002097606659,9,coverage=100.0%
2026-04-20T16:46:15.035886,ALL,SUMMARY,0,0,1470.002058506012,9,coverage=100.0%
2026-04-20T16:46:45.035295,ALL,SUMMARY,0,0,1500.0020430088043,9,coverage=100.0%
2026-04-20T16:47:15.035699,ALL,SUMMARY,0,0,1530.002066373825,9,coverage=100.0%
2026-04-20T16:47:45.036422,ALL,SUMMARY,0,0,1560.0021414756775,9,coverage=100.0%
2026-04-20T16:48:15.035764,ALL,SUMMARY,0,0,1590.0020697116852,9,coverage=100.0%
2026-04-20T16:48:45.035973,ALL,SUMMARY,0,0,1620.002136707306,9,coverage=100.0%
2026-04-20T16:49:15.035968,ALL,SUMMARY,0,0,1650.002105474472,9,coverage=100.0%
2026-04-20T16:49:45.036542,ALL,SUMMARY,0,0,1680.002105474472,9,coverage=100.0%
2026-04-20T16:50:15.035594,ALL,SUMMARY,0,0,1710.0020887851715,9,coverage=100.0%
2026-04-20T16:50:45.035551,ALL,SUMMARY,0,0,1740.0021152496338,9,coverage=100.0%
2026-04-20T16:51:15.036585,ALL,SUMMARY,0,0,1770.0020759105682,9,coverage=100.0%
2026-04-20T16:51:45.035364,ALL,SUMMARY,0,0,1800.002058506012,9,coverage=100.0%
2026-04-20T16:52:15.035138,ALL,SUMMARY,0,0,1830.002078294754,9,coverage=100.0%
2026-04-20T16:52:45.035353,ALL,SUMMARY,0,0,1860.0020771026611,9,coverage=100.0%
2026-04-20T16:53:15.035526,ALL,SUMMARY,0,0,1890.0020859241486,9,coverage=100.0%
2026-04-20T16:53:45.035410,ALL,SUMMARY,0,0,1920.0020880699158,9,coverage=100.0%
2026-04-20T16:54:15.034552,ALL,SUMMARY,0,0,1950.002052783966,9,coverage=100.0%
2026-04-20T16:54:45.036123,ALL,SUMMARY,0,0,1980.0021257400513,9,coverage=100.0%
2026-04-20T16:55:15.035466,ALL,SUMMARY,0,0,2010.0021967887878,9,coverage=100.0%
2026-04-20T16:55:45.036526,ALL,SUMMARY,0,0,2040.0020763874054,9,coverage=100.0%
2026-04-20T16:56:15.039482,ALL,SUMMARY,0,0,2070.002135515213,9,coverage=100.0%
2026-04-20T16:56:45.036990,ALL,SUMMARY,0,0,2100.0023584365845,9,coverage=100.0%
2026-04-20T16:57:15.035813,ALL,SUMMARY,0,0,2130.0021018981934,9,coverage=100.0%
2026-04-20T16:57:45.032587,ALL,SUMMARY,0,0,2160.0019476413727,9,coverage=100.0%
2026-04-20T16:58:15.038455,ALL,SUMMARY,0,0,2190.0023109912872,9,coverage=100.0%
2026-04-20T16:58:45.038560,ALL,SUMMARY,0,0,2220.002106666565,9,coverage=100.0%
2026-04-20T16:59:15.039484,ALL,SUMMARY,0,0,2250.002093076706,9,coverage=100.0%
2026-04-20T16:59:45.035902,ALL,SUMMARY,0,0,2280.002263069153,9,coverage=100.0%
2026-04-20T17:00:15.036704,ALL,SUMMARY,0,0,2310.0020849704742,9,coverage=100.0%
2026-04-20T17:00:45.040574,ALL,SUMMARY,0,0,2340.002073764801,9,coverage=100.0%
2026-04-20T17:01:15.040853,ALL,SUMMARY,0,0,2370.0022852420807,9,coverage=100.0%
2026-04-20T17:01:45.036064,ALL,SUMMARY,0,0,2400.0020928382874,9,coverage=100.0%
2026-04-20T17:02:15.037429,ALL,SUMMARY,0,0,2430.0021171569824,9,coverage=100.0%
2026-04-20T17:02:45.035782,ALL,SUMMARY,0,0,2460.0020875930786,9,coverage=100.0%
2026-04-20T17:03:15.034664,ALL,SUMMARY,0,0,2490.0020141601562,9,coverage=100.0%
2026-04-20T17:03:45.038441,ALL,SUMMARY,0,0,2520.0020940303802,9,coverage=100.0%
2026-04-20T17:04:15.041511,ALL,SUMMARY,0,0,2550.00226521492,9,coverage=100.0%
2026-04-20T17:04:45.039657,ALL,SUMMARY,0,0,2580.002289056778,9,coverage=100.0%
2026-04-20T17:05:15.037201,ALL,SUMMARY,0,0,2610.0022683143616,9,coverage=100.0%
2026-04-20T17:05:45.035774,ALL,SUMMARY,0,0,2640.002260684967,9,coverage=100.0%
2026-04-20T17:06:15.035137,ALL,SUMMARY,0,0,2670.0020785331726,9,coverage=100.0%
2026-04-20T17:06:45.034011,ALL,SUMMARY,0,0,2700.0019896030426,9,coverage=100.0%
2026-04-20T17:07:15.035532,ALL,SUMMARY,0,0,2730.0020763874054,9,coverage=100.0%
2026-04-20T17:07:45.033072,ALL,SUMMARY,0,0,2760.001966714859,9,coverage=100.0%
2026-04-20T17:08:15.038842,ALL,SUMMARY,0,0,2790.0022523403168,9,coverage=100.0%
2026-04-20T17:08:45.035533,ALL,SUMMARY,0,0,2820.0020842552185,9,coverage=100.0%
2026-04-20T17:09:15.035239,ALL,SUMMARY,0,0,2850.002067565918,9,coverage=100.0%
2026-04-20T17:09:45.035485,ALL,SUMMARY,0,0,2880.0020549297333,9,coverage=100.0%
2026-04-20T17:10:15.037577,ALL,SUMMARY,0,0,2910.0020837783813,9,coverage=100.0%
2026-04-20T17:10:45.035082,ALL,SUMMARY,0,0,2940.0020503997803,9,coverage=100.0%
2026-04-20T17:11:15.040737,ALL,SUMMARY,0,0,2970.002367258072,9,coverage=100.0%
2026-04-20T17:11:45.037197,ALL,SUMMARY,0,0,3000.002274274826,9,coverage=100.0%
2026-04-20T17:12:15.035697,ALL,SUMMARY,0,0,3030.002119779587,9,coverage=100.0%
2026-04-20T17:12:45.035473,ALL,SUMMARY,0,0,3060.0020945072174,9,coverage=100.0%
2026-04-20T17:13:15.035621,ALL,SUMMARY,0,0,3090.0021407604218,9,coverage=100.0%
2026-04-20T17:13:45.035210,ALL,SUMMARY,0,0,3120.002072572708,9,coverage=100.0%
2026-04-20T17:14:15.035553,ALL,SUMMARY,0,0,3150.002106666565,9,coverage=100.0%
2026-04-20T17:14:45.041253,ALL,SUMMARY,0,0,3180.002205848694,9,coverage=100.0%
2026-04-20T17:15:15.040696,ALL,SUMMARY,0,0,3210.0022315979004,9,coverage=100.0%
2026-04-20T17:15:45.039677,ALL,SUMMARY,0,0,3240.002086162567,9,coverage=100.0%
2026-04-20T17:16:15.040491,ALL,SUMMARY,0,0,3270.002239227295,9,coverage=100.0%
2026-04-20T17:16:45.041190,ALL,SUMMARY,0,0,3300.0022644996643,9,coverage=100.0%
2026-04-20T17:17:15.035838,ALL,SUMMARY,0,0,3330.002301454544,9,coverage=100.0%
2026-04-20T17:17:45.035909,ALL,SUMMARY,0,0,3360.00208568573,9,coverage=100.0%
2026-04-20T17:18:15.040229,ALL,SUMMARY,0,0,3390.0020883083344,9,coverage=100.0%
2026-04-20T17:18:45.036116,ALL,SUMMARY,0,0,3420.0021362304688,9,coverage=100.0%
2026-04-20T17:19:15.039323,ALL,SUMMARY,0,0,3450.002144098282,9,coverage=100.0%
2026-04-20T17:19:45.038129,ALL,SUMMARY,0,0,3480.0020983219147,9,coverage=100.0%
2026-04-20T17:20:15.040945,ALL,SUMMARY,0,0,3510.002264738083,9,coverage=100.0%
2026-04-20T17:20:45.035875,ALL,SUMMARY,0,0,3540.002178668976,9,coverage=100.0%
2026-04-20T17:21:15.036009,ALL,SUMMARY,0,0,3570.002138853073,9,coverage=100.0%
2026-04-20T17:21:45.036191,ALL,SUMMARY,0,0,3600.002185344696,9,coverage=100.0%
2026-04-20T17:22:15.036556,ALL,SUMMARY,0,0,3630.0020961761475,9,coverage=100.0%
2026-04-20T17:22:45.034153,ALL,SUMMARY,0,0,3660.0020377635956,9,coverage=100.0%
2026-04-20T17:23:15.036999,ALL,SUMMARY,0,0,3690.0020961761475,9,coverage=100.0%
2026-04-20T17:23:45.035293,ALL,SUMMARY,0,0,3720.0020763874054,9,coverage=100.0%
2026-04-20T17:24:15.034727,ALL,SUMMARY,0,0,3750.0020999908447,9,coverage=100.0%
