time,D0_x,D0_y,D0_z,D0_state,D1_x,D1_y,D1_z,D1_state
1779369799.445,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369799.545,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369799.645,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369799.745,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369799.845,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369799.945,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.045,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.145,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.245,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.345,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.445,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.545,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.645,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.745,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.845,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369800.945,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.045,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.145,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.245,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.345,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.445,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.545,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.645,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.745,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.845,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369801.945,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.045,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.145,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.245,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.345,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.445,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.545,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.645,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.745,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.845,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369802.945,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
1779369803.045,0.000,0.000,0.000,READY,0.000,0.000,0.000,READY
